MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367757130,2020-01-01T00:51:57,35.90605,-89.71637,7.5,302.3,289.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T00:59:46,35.91127,-89.73495,7.6,276.1,259.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:03:27,35.91035,-89.74418,7.4,248.9,224.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:04:37,35.90922,-89.7468,7.3,235.9,215.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:05:46,35.90772,-89.74903,7.6,225.8,211.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:07:17,35.90504,-89.75159,8.4,217.0,212.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:08:46,35.90228,-89.7541,8.4,217.9,219.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:10:17,35.89956,-89.75679,8.3,221.8,223.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:11:38,35.89726,-89.75937,8.4,222.2,221.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:12:56,35.89496,-89.76198,8.8,223.3,215.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:14:06,35.89271,-89.76423,8.8,216.8,208.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:15:56,35.88895,-89.76696,8.7,205.4,204.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:17:16,35.88604,-89.76869,8.8,205.4,200.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:18:27,35.88338,-89.77005,8.7,200.6,192.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:19:38,35.88062,-89.77098,8.7,192.6,187.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:21:27,35.87626,-89.7719,8.8,187.1,182.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:22:38,35.87338,-89.77221,8.8,183.3,178.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:25:37,35.86617,-89.77164,8.6,169.9,147.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:27:07,35.86299,-89.77009,7.7,147.4,123.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:28:26,35.86089,-89.76786,7.7,133.8,119.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:30:47,35.85769,-89.76249,8.8,119.7,117.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:32:18,35.85585,-89.75833,9.4,116.5,113.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:33:37,35.85432,-89.7544,9.7,115.0,110.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:35:48,35.85197,-89.74752,10.3,111.6,108.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:37:17,35.8505,-89.74257,10.4,109.2,107.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:43:06,35.84514,-89.7224,10.9,108.5,105.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:44:57,35.84347,-89.71589,10.8,108.0,113.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:46:38,35.84172,-89.71009,10.7,111.1,119.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:47:47,35.8403,-89.70631,10.4,118.8,129.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:51:47,35.83314,-89.69643,9.4,144.7,161.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:53:56,35.828,-89.69403,9.2,171.8,202.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:55:07,35.82507,-89.69426,9.0,190.4,215.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T01:57:17,35.82021,-89.69717,9.2,215.5,228.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:00:58,35.81329,-89.70642,10.8,232.0,238.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:02:17,35.8108,-89.71039,11.2,232.7,240.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:03:58,35.8078,-89.71569,11.4,237.9,241.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:07:56,35.80163,-89.72925,11.5,240.7,245.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:09:27,35.79941,-89.73448,11.3,244.2,246.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:10:37,35.79783,-89.73842,11.0,243.5,248.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:13:16,35.79485,-89.74729,10.0,247.3,242.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:14:28,35.79341,-89.75087,9.8,243.9,241.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:16:07,35.79144,-89.75572,9.7,243.1,238.0,A B YORK,,WDJ2304,31.0
367757130,2020-01-01T02:17:56,35.78903,-89.76107,10.0,240.4,233.0,A B YORK,,WDJ2304,31.0
