MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
245634000,2020-01-01T01:26:01,29.99927,-136.42325,12.3,268.6,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T01:59:41,29.99923,-136.55641,12.2,270.9,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T03:01:20,29.99906,-136.80308,12.4,267.2,270.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:29:22,29.99913,-137.15185,12.3,266.6,268.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:32:32,29.99908,-137.16437,12.4,269.5,270.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:36:32,29.99908,-137.18024,12.5,268.9,268.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:37:41,29.99904,-137.18477,12.2,273.0,273.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:45:00,29.99897,-137.21389,12.5,266.3,270.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:46:20,29.99908,-137.21916,12.3,272.3,270.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:48:42,29.99911,-137.22854,12.5,271.4,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:52:20,29.99913,-137.24316,12.7,269.0,269.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:53:21,29.99909,-137.24723,12.4,270.6,273.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:54:31,29.99924,-137.25188,12.5,270.3,269.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:55:51,29.9992,-137.2573,12.7,272.0,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:57:01,29.99937,-137.26202,12.7,273.2,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T04:58:42,29.99924,-137.26893,12.9,267.4,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:02:11,29.99935,-137.28347,13.2,268.8,275.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:03:31,29.99956,-137.28903,13.1,270.5,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:24:31,29.9993,-137.37842,13.1,270.5,274.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:25:41,29.9995,-137.3833,13.0,271.4,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:26:51,29.99937,-137.38825,13.2,267.5,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:29:11,29.99943,-137.39789,13.1,268.2,270.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:47:41,29.99941,-137.47447,13.1,271.1,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:50:21,29.99946,-137.48569,13.1,269.8,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:52:10,29.99944,-137.49328,13.0,269.6,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:55:52,29.99946,-137.50868,12.9,270.1,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:57:10,29.99943,-137.51416,13.0,271.1,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:58:42,29.99945,-137.52046,12.9,268.8,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T05:59:52,29.99952,-137.5253,13.0,272.0,272.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T06:00:30,29.99953,-137.52793,13.0,271.4,271.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T06:04:31,29.99946,-137.54486,13.4,267.2,269.0,ALASKABORG,IMO9466374,PBUX,70.0
245634000,2020-01-01T06:07:21,29.99952,-137.55671,13.1,270.5,271.0,ALASKABORG,IMO9466374,PBUX,70.0
