MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367077760,2020-01-01T00:00:27,42.3018,-124.43678,6.1,150.2,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:01:30,42.30015,-124.43558,6.2,149.6,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:01:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:03:28,42.29722,-124.43317,5.7,148.8,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:04:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:05:29,42.29418,-124.43055,6.2,142.7,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:06:30,42.29276,-124.42919,5.5,166.4,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:07:35,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:08:58,42.28868,-124.42667,6.3,155.2,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:10:28,42.2868,-124.42444,6.6,113.6,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:10:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:11:59,42.28708,-124.42318,2.3,330.0,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:13:29,42.2882,-124.42363,3.1,9.9,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:13:36,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:15:28,42.28969,-124.42411,4.0,9.0,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:16:30,42.29057,-124.42432,2.7,7.7,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:16:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:18:00,42.29183,-124.42477,2.9,348.3,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:19:31,42.29301,-124.42521,3.6,340.6,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:19:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:20:58,42.29405,-124.42569,3.1,346.4,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:21:59,42.29483,-124.42587,3.3,333.1,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:22:36,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:23:28,42.29601,-124.42625,4.2,338.3,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:25:28,42.29781,-124.4267,3.4,357.5,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:25:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:27:28,42.29947,-124.42718,3.4,348.1,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:28:35,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:29:00,42.30057,-124.42809,3.5,334.9,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:30:28,42.30178,-124.42855,2.5,326.8,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:31:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:32:28,42.30342,-124.42932,2.5,334.0,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:33:29,42.30387,-124.4295,3.4,278.2,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:34:35,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:34:58,42.30469,-124.43004,2.7,340.9,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:35:59,42.30505,-124.43011,1.4,346.7,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:37:34,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:38:28,42.30528,-124.43047,3.6,5.3,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:40:30,42.30696,-124.43105,2.3,309.7,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:40:36,21.3282,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:41:59,42.30799,-124.43169,2.9,338.7,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:43:28,42.309,-124.43231,3.3,335.5,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:43:34,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:45:29,42.30949,-124.43273,3.1,222.7,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:46:34,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:47:28,42.3107,-124.4337,2.8,304.3,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:48:32,42.31123,-124.43435,3.0,334.6,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:49:36,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:50:29,42.31256,-124.4354,3.6,303.2,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:52:35,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:53:58,42.31425,-124.43688,2.9,333.8,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T00:55:00,42.31474,-124.43743,3.3,332.8,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T00:55:34,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367610310,2020-01-01T00:58:35,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T00:58:58,42.31766,-124.43942,1.8,341.1,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T01:00:30,42.3188,-124.44017,4.1,336.1,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T01:01:34,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T01:01:59,42.31993,-124.44082,2.8,337.1,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T01:03:01,42.32074,-124.44089,3.4,13.7,511.0,ALOHA,,WDC7843,30.0
367077760,2020-01-01T01:04:28,42.32197,-124.44136,4.7,323.4,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T01:04:35,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T01:06:28,42.32368,-124.44173,2.9,338.1,511.0,ALOHA,,WDC7843,30.0
367610310,2020-01-01T01:07:34,21.32821,-158.11941,0.0,0.0,511.0,ALOHA,,WDH3732,37.0
367077760,2020-01-01T01:07:58,42.32476,-124.44208,1.9,328.7,511.0,ALOHA,,WDC7843,30.0
