MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367005260,2020-01-01T00:00:14,29.69336,-89.96902,0.0,0.0,332.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:01:24,29.69334,-89.969,0.0,0.0,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:02:33,29.69335,-89.96903,0.0,76.4,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:03:34,29.69333,-89.96902,0.0,83.7,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:04:44,29.69335,-89.96904,0.0,90.6,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:05:54,29.69335,-89.96903,0.0,85.0,332.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
369042000,2020-01-01T00:06:56,60.68353,-151.39986,0.0,60.4,161.0,AMERICAN FREEDOM,IMO9759898,KAFK,80.0
367005260,2020-01-01T00:07:23,29.69335,-89.96903,0.0,84.7,333.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:08:34,29.69335,-89.96905,0.0,78.8,332.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:10:03,29.69335,-89.96905,0.0,0.0,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:11:14,29.69334,-89.96903,0.0,63.8,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:12:15,29.69335,-89.96904,0.0,60.2,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
369042000,2020-01-01T00:12:55,60.6835,-151.3998,0.0,60.4,161.0,AMERICAN FREEDOM,IMO9759898,KAFK,80.0
367005260,2020-01-01T00:14:03,29.69334,-89.96902,0.0,60.3,331.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
367005260,2020-01-01T00:15:13,29.69335,-89.96905,0.0,77.3,333.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
369042000,2020-01-01T00:15:53,60.6835,-151.39989,0.0,60.4,161.0,AMERICAN FREEDOM,IMO9759898,KAFK,80.0
367005260,2020-01-01T00:16:23,29.69334,-89.96902,0.0,71.1,333.0,AMERICAN FREEDOM,IMO8983014,WDC3284,31.0
