MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367320870,2020-01-01T00:00:06,33.61079,-117.92584,0.0,227.7,511.0,ANDIAMO,,WDE2131,37.0
338142968,2020-01-01T00:00:15,36.86928,-76.00492,0.0,23.4,511.0,ANDIAMO,,,37.0
367757990,2020-01-01T00:00:51,47.62847,-122.39285,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:01:17,33.61078,-117.92584,0.0,246.4,511.0,ANDIAMO,,WDE2131,37.0
367512330,2020-01-01T00:02:12,25.82315,-80.12393,0.0,310.0,180.0,ANDIAMO,,WDG2120,37.0
367473070,2020-01-01T00:02:25,26.13551,-80.11904,0.0,228.7,511.0,ANDIAMO,,WDF6325,37.0
367320870,2020-01-01T00:02:27,33.61077,-117.92584,0.0,195.9,511.0,ANDIAMO,,WDE2131,37.0
367393390,2020-01-01T00:02:55,47.61715,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
338142968,2020-01-01T00:03:15,36.86928,-76.0049,0.0,23.4,511.0,ANDIAMO,,,37.0
367320870,2020-01-01T00:03:36,33.61077,-117.92584,0.0,283.2,511.0,ANDIAMO,,WDE2131,37.0
367757990,2020-01-01T00:03:53,47.62848,-122.39285,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:04:46,33.61076,-117.92583,0.0,275.0,511.0,ANDIAMO,,WDE2131,37.0
367512330,2020-01-01T00:05:11,25.82315,-80.12393,0.0,310.0,180.0,ANDIAMO,,WDG2120,37.0
367473070,2020-01-01T00:05:25,26.13548,-80.11903,0.0,241.9,511.0,ANDIAMO,,WDF6325,37.0
367320870,2020-01-01T00:05:57,33.61076,-117.92583,0.0,43.2,511.0,ANDIAMO,,WDE2131,37.0
367393390,2020-01-01T00:05:58,47.61715,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
338142968,2020-01-01T00:06:13,36.86927,-76.00494,0.0,23.4,511.0,ANDIAMO,,,37.0
366973940,2020-01-01T00:06:31,48.98764,-122.76961,0.0,360.0,511.0,ANDIAMO,,WDB9335,37.0
367757990,2020-01-01T00:06:51,47.62847,-122.39287,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:07:17,33.61077,-117.92581,0.0,252.1,511.0,ANDIAMO,,WDE2131,37.0
367792280,2020-01-01T00:08:11,25.70709,-80.25124,0.0,173.9,511.0,ANDIAMO,IMO0000000,WDJ5892,36.0
367512330,2020-01-01T00:08:13,25.82315,-80.12393,0.0,310.0,180.0,ANDIAMO,,WDG2120,37.0
367473070,2020-01-01T00:08:24,26.1355,-80.11905,0.0,244.0,511.0,ANDIAMO,,WDF6325,37.0
367320870,2020-01-01T00:08:27,33.61077,-117.92582,0.0,223.4,511.0,ANDIAMO,,WDE2131,37.0
367393390,2020-01-01T00:08:56,47.61715,-122.51305,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
367724030,2020-01-01T00:09:09,26.703,-80.04457,0.0,114.0,511.0,ANDIAMO,,WDI6965,37.0
338142968,2020-01-01T00:09:13,36.86928,-76.00493,0.0,23.4,511.0,ANDIAMO,,,37.0
366973940,2020-01-01T00:09:29,48.98764,-122.76961,0.0,360.0,511.0,ANDIAMO,,WDB9335,37.0
367320870,2020-01-01T00:09:37,33.61076,-117.92584,0.0,266.1,511.0,ANDIAMO,,WDE2131,37.0
367320870,2020-01-01T00:10:46,33.61077,-117.92583,0.0,240.7,511.0,ANDIAMO,,WDE2131,37.0
367512330,2020-01-01T00:11:12,25.82315,-80.12393,0.0,310.0,180.0,ANDIAMO,,WDG2120,37.0
367473070,2020-01-01T00:11:24,26.13548,-80.11901,0.0,239.9,511.0,ANDIAMO,,WDF6325,37.0
367320870,2020-01-01T00:11:57,33.61078,-117.92583,0.0,295.8,511.0,ANDIAMO,,WDE2131,37.0
367393390,2020-01-01T00:11:58,47.61715,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
338123004,2020-01-01T00:11:59,42.76904,-86.19912,0.1,314.4,511.0,ANDIAMO,,,37.0
338142968,2020-01-01T00:12:13,36.86927,-76.00493,0.0,23.4,511.0,ANDIAMO,,,37.0
366973940,2020-01-01T00:12:30,48.98764,-122.76963,0.0,360.0,511.0,ANDIAMO,,WDB9335,37.0
367757990,2020-01-01T00:12:51,47.62848,-122.39285,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:13:07,33.61077,-117.92582,0.0,346.9,511.0,ANDIAMO,,WDE2131,37.0
367792280,2020-01-01T00:14:10,25.70714,-80.25127,0.1,173.9,511.0,ANDIAMO,IMO0000000,WDJ5892,36.0
367473070,2020-01-01T00:14:25,26.13549,-80.11903,0.0,243.7,511.0,ANDIAMO,,WDF6325,37.0
367393390,2020-01-01T00:14:55,47.61715,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
367320870,2020-01-01T00:14:57,33.61077,-117.92583,0.0,252.1,511.0,ANDIAMO,,WDE2131,37.0
367724030,2020-01-01T00:15:10,26.703,-80.04455,0.0,102.1,511.0,ANDIAMO,,WDI6965,37.0
338142968,2020-01-01T00:15:13,36.86928,-76.00493,0.0,23.4,511.0,ANDIAMO,,,37.0
367757990,2020-01-01T00:15:50,47.62847,-122.39285,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:16:07,33.61078,-117.92583,0.0,271.6,511.0,ANDIAMO,,WDE2131,37.0
367512330,2020-01-01T00:17:12,25.82315,-80.12393,0.0,310.0,179.0,ANDIAMO,,WDG2120,37.0
367320870,2020-01-01T00:17:17,33.61078,-117.92583,0.0,236.2,511.0,ANDIAMO,,WDE2131,37.0
367473070,2020-01-01T00:17:25,26.1355,-80.11902,0.0,248.2,511.0,ANDIAMO,,WDF6325,37.0
367393390,2020-01-01T00:17:55,47.61716,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
338142968,2020-01-01T00:18:13,36.86928,-76.00494,0.0,23.4,511.0,ANDIAMO,,,37.0
367320870,2020-01-01T00:18:27,33.61078,-117.92582,0.0,17.3,511.0,ANDIAMO,,WDE2131,37.0
366973940,2020-01-01T00:18:29,48.98764,-122.76963,0.0,360.0,511.0,ANDIAMO,,WDB9335,37.0
367757990,2020-01-01T00:18:51,47.62848,-122.39285,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:19:47,33.61078,-117.9258,0.0,123.4,511.0,ANDIAMO,,WDE2131,37.0
367512330,2020-01-01T00:20:13,25.82315,-80.12395,0.0,310.0,180.0,ANDIAMO,,WDG2120,37.0
367473070,2020-01-01T00:20:25,26.13549,-80.11902,0.0,249.2,511.0,ANDIAMO,,WDF6325,37.0
367320870,2020-01-01T00:20:57,33.61077,-117.92582,0.0,290.6,511.0,ANDIAMO,,WDE2131,37.0
367393390,2020-01-01T00:20:58,47.61715,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
367724030,2020-01-01T00:21:09,26.70301,-80.04457,0.1,115.5,511.0,ANDIAMO,,WDI6965,37.0
338142968,2020-01-01T00:21:15,36.86927,-76.00492,0.0,23.4,511.0,ANDIAMO,,,37.0
366973940,2020-01-01T00:21:29,48.98764,-122.76963,0.0,360.0,511.0,ANDIAMO,,WDB9335,37.0
367757990,2020-01-01T00:21:51,47.62847,-122.39287,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:22:47,33.61077,-117.92582,0.0,224.4,511.0,ANDIAMO,,WDE2131,37.0
367792280,2020-01-01T00:23:09,25.70715,-80.25126,0.0,173.9,511.0,ANDIAMO,IMO0000000,WDJ5892,36.0
367512330,2020-01-01T00:23:12,25.82315,-80.12393,0.0,310.0,179.0,ANDIAMO,,WDG2120,37.0
367393390,2020-01-01T00:23:56,47.61715,-122.51307,0.0,248.3,511.0,ANDIAMO,,WDE7447,37.0
367320870,2020-01-01T00:23:58,33.61077,-117.92581,0.0,310.4,511.0,ANDIAMO,,WDE2131,37.0
338142968,2020-01-01T00:24:13,36.86928,-76.00493,0.0,23.4,511.0,ANDIAMO,,,37.0
366973940,2020-01-01T00:24:29,48.98764,-122.76963,0.0,360.0,511.0,ANDIAMO,,WDB9335,37.0
367757990,2020-01-01T00:24:51,47.62847,-122.39285,0.0,162.0,511.0,ANDIAMO,,WDJ2398,37.0
367320870,2020-01-01T00:25:17,33.61077,-117.92581,0.0,344.8,511.0,ANDIAMO,,WDE2131,37.0
