MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
477188500,2020-01-01T00:00:04,38.68431,-74.9411,14.7,142.5,141.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:01:10,38.68078,-74.93772,14.7,143.1,141.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:02:16,38.67714,-74.93426,14.7,144.4,144.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:03:28,38.6731,-74.9308,14.6,146.2,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:04:34,38.66948,-74.92761,14.6,145.4,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:05:41,38.66577,-74.92434,14.6,145.0,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:06:46,38.66213,-74.92105,14.6,144.6,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:07:52,38.65851,-74.91784,14.6,145.3,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:08:58,38.65483,-74.91457,14.6,146.1,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:10:04,38.65118,-74.91134,14.5,145.0,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:11:10,38.64748,-74.90807,14.5,145.6,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:12:28,38.64319,-74.90422,14.5,144.7,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:14:10,38.6376,-74.89909,14.5,143.8,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:15:58,38.63177,-74.89365,14.4,144.3,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:17:04,38.62822,-74.89034,14.3,143.3,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:18:58,38.62213,-74.8846,14.3,143.1,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:20:04,38.61865,-74.88133,14.3,142.9,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:21:11,38.61507,-74.87804,14.3,144.0,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:22:28,38.61095,-74.87419,14.2,144.8,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:23:34,38.60753,-74.87102,14.1,143.6,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:24:40,38.60405,-74.86778,14.0,143.5,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:25:58,38.59991,-74.86391,13.9,143.5,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:27:40,38.59464,-74.85899,13.9,144.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:29:45,38.58808,-74.85293,13.9,144.7,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:30:52,38.58458,-74.84969,13.9,144.4,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:32:16,38.58024,-74.84564,13.9,143.3,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:33:33,38.57631,-74.84194,13.9,143.1,143.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:35:33,38.57002,-74.83606,13.8,143.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:36:39,38.56667,-74.83292,13.9,142.3,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:37:40,38.56352,-74.82998,13.8,144.0,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:40:00,38.55634,-74.82314,13.8,143.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:41:09,38.55274,-74.81973,13.8,145.1,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:42:18,38.5492,-74.81641,13.7,143.6,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:45:20,38.53992,-74.80782,13.8,144.6,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:46:30,38.53632,-74.80445,13.8,144.0,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:48:59,38.52862,-74.79718,13.8,142.3,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:50:49,38.52297,-74.7918,13.8,143.9,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:51:59,38.51942,-74.78845,13.8,142.5,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:53:09,38.51584,-74.78503,13.8,142.8,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:54:59,38.5102,-74.77969,13.9,143.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:56:19,38.50607,-74.7758,13.8,142.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T00:59:19,38.49679,-74.76695,13.8,143.1,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:00:09,38.49428,-74.76458,13.8,143.6,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:01:19,38.4907,-74.7612,13.7,143.3,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:02:29,38.48712,-74.75782,13.7,142.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:03:39,38.48353,-74.75444,13.7,144.1,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:04:50,38.47989,-74.751,13.8,143.7,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:06:00,38.47625,-74.74763,13.6,143.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:07:10,38.47274,-74.74435,13.6,143.5,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:08:18,38.46926,-74.74107,13.6,144.0,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:09:19,38.46621,-74.7382,13.6,143.6,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:11:00,38.46106,-74.7334,13.5,143.6,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:12:10,38.45762,-74.73011,13.5,143.2,142.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:13:19,38.45412,-74.72685,13.5,146.8,149.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:14:20,38.45073,-74.72446,13.5,153.6,157.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:15:40,38.44613,-74.72238,13.3,165.1,168.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:16:50,38.44181,-74.72134,13.4,168.0,163.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:18:40,38.43535,-74.71877,13.5,159.3,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:19:50,38.43122,-74.71689,13.5,161.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:21:30,38.42533,-74.71421,13.6,161.6,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:22:39,38.42121,-74.71232,13.6,160.7,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:23:50,38.41707,-74.71042,13.6,160.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:25:20,38.41169,-74.70799,13.5,161.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:26:39,38.40701,-74.70589,13.6,160.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:28:50,38.39933,-74.70235,13.5,159.1,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:30:00,38.39521,-74.70052,13.5,160.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:32:29,38.38649,-74.69655,13.4,161.3,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:33:40,38.38236,-74.69471,13.3,161.9,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:35:49,38.37496,-74.69139,13.3,159.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:37:49,38.36795,-74.68827,13.3,159.3,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:39:00,38.36387,-74.6865,13.3,161.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:40:50,38.35746,-74.68366,13.4,160.7,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:42:00,38.35338,-74.68184,13.4,160.9,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:43:50,38.34694,-74.67901,13.4,161.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:45:10,38.34223,-74.67696,13.4,162.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:46:19,38.33812,-74.67516,13.4,160.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:49:40,38.32612,-74.6699,13.4,159.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:51:09,38.3211,-74.66779,13.4,161.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:53:10,38.314,-74.66468,13.5,162.1,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:54:39,38.30875,-74.66235,13.6,160.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:55:59,38.30407,-74.66031,13.6,161.9,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:57:59,38.29692,-74.65715,13.6,160.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T01:59:40,38.29093,-74.65448,13.5,161.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:00:10,38.28921,-74.65373,13.6,162.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:01:19,38.28513,-74.65193,13.6,160.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:02:29,38.28099,-74.65009,13.6,157.9,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:03:40,38.27673,-74.64826,13.6,162.9,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:04:49,38.27269,-74.64644,13.4,161.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:06:10,38.26792,-74.64442,13.4,160.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:07:40,38.2627,-74.6421,13.4,160.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:08:59,38.25807,-74.64005,13.5,160.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:10:10,38.25387,-74.63824,13.5,162.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:11:19,38.24975,-74.63644,13.5,160.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:12:49,38.24451,-74.63419,13.5,162.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:14:39,38.23797,-74.63131,13.5,161.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:15:49,38.2339,-74.62952,13.5,160.6,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:17:49,38.22682,-74.62645,13.5,161.6,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:19:19,38.22154,-74.62411,13.5,161.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:20:49,38.21625,-74.62175,13.5,159.1,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:22:19,38.21095,-74.61943,13.5,161.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:24:10,38.20436,-74.61656,13.5,160.3,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:25:20,38.2003,-74.61485,13.4,161.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:26:30,38.19611,-74.61305,13.5,162.4,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:27:39,38.19212,-74.61132,13.4,162.1,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:29:20,38.18616,-74.60874,13.5,161.8,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:30:30,38.18198,-74.60689,13.6,161.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:32:30,38.17495,-74.60382,13.6,159.6,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:33:40,38.1708,-74.60201,13.6,161.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:34:50,38.16661,-74.60014,13.6,161.3,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:35:59,38.16255,-74.59832,13.6,158.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:38:09,38.15491,-74.59493,13.4,159.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:39:29,38.15027,-74.59292,13.4,161.6,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:41:09,38.1444,-74.59034,13.4,161.0,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:42:20,38.14019,-74.58845,13.4,160.6,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:45:39,38.12853,-74.58332,13.4,162.2,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:46:49,38.1245,-74.5815,13.5,158.5,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:49:49,38.11391,-74.57688,13.5,159.9,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:53:09,38.10218,-74.57176,13.5,161.3,159.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:56:09,38.09155,-74.56714,13.5,161.4,161.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:57:49,38.08555,-74.56504,13.5,168.1,170.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T02:59:49,38.07815,-74.56416,13.4,178.4,179.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:00:00,38.07741,-74.56417,13.4,180.5,179.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:01:10,38.07314,-74.56432,13.4,181.5,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:02:20,38.06875,-74.56444,13.4,179.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:03:30,38.06442,-74.56458,13.4,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:04:39,38.06021,-74.56474,13.4,182.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:05:59,38.05526,-74.56493,13.4,182.3,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:07:10,38.05087,-74.56511,13.4,180.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:08:20,38.04644,-74.5653,13.5,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:09:30,38.04215,-74.5655,13.4,183.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:10:59,38.03663,-74.5657,13.4,182.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:12:29,38.03095,-74.56595,13.4,182.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:13:39,38.02659,-74.56614,13.4,181.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:15:09,38.02099,-74.56638,13.5,180.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:16:39,38.01544,-74.56663,13.5,182.2,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:17:50,38.01104,-74.56684,13.5,182.0,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:19:09,38.00612,-74.5671,13.5,181.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:20:19,38.0017,-74.5673,13.5,181.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:21:20,37.99795,-74.5675,13.5,180.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:22:29,37.99364,-74.56772,13.5,183.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:23:40,37.98913,-74.56795,13.5,182.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:24:50,37.98477,-74.56813,13.6,180.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:25:58,37.98045,-74.56837,13.6,182.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:28:10,37.97212,-74.56879,13.7,181.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:29:49,37.96581,-74.56911,13.7,181.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:31:10,37.96066,-74.56937,13.8,181.2,181.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:32:40,37.9549,-74.56967,13.7,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:34:10,37.94921,-74.56994,13.7,181.4,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:35:40,37.94348,-74.57021,13.7,182.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:36:49,37.93919,-74.57041,13.8,180.0,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:39:29,37.92895,-74.57099,13.8,184.4,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:41:29,37.92138,-74.57132,13.7,180.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:43:09,37.915,-74.57164,13.8,182.5,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:44:19,37.91045,-74.57189,13.7,183.3,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:45:30,37.90599,-74.57215,13.7,182.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:48:40,37.89379,-74.57274,13.8,180.5,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:49:50,37.88938,-74.57297,13.9,183.8,179.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:51:09,37.88416,-74.57322,13.9,181.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:52:13,37.88009,-74.57337,13.9,180.5,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:53:25,37.87553,-74.57356,13.9,181.4,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:54:49,37.87011,-74.57377,13.9,182.2,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:55:54,37.86586,-74.57396,13.9,183.5,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:57:13,37.86078,-74.57416,13.9,180.0,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:58:19,37.85663,-74.57435,13.8,181.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T03:59:24,37.85235,-74.57453,13.9,180.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:00:01,37.85001,-74.57468,13.9,182.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:01:07,37.84577,-74.57488,14.0,181.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:02:12,37.84152,-74.57507,14.0,180.4,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:03:19,37.83726,-74.57531,14.0,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:04:24,37.83303,-74.57556,14.0,182.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:05:31,37.82879,-74.57579,14.0,182.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:06:36,37.8246,-74.57605,14.0,184.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:07:43,37.82028,-74.57628,13.9,180.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:08:48,37.8161,-74.57653,13.9,180.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:09:54,37.81185,-74.57676,14.0,182.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:11:00,37.80753,-74.57699,14.0,181.2,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:12:07,37.80327,-74.57721,14.0,183.0,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:13:43,37.79707,-74.57751,13.9,181.2,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:15:13,37.79127,-74.57777,13.9,183.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:16:18,37.78703,-74.57801,13.9,184.5,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:18:13,37.77971,-74.57834,13.9,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:19:18,37.77546,-74.57848,13.9,182.4,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:21:00,37.7689,-74.57873,14.0,181.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:22:18,37.76388,-74.57894,13.9,181.3,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:23:31,37.75924,-74.57916,13.9,182.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:24:37,37.75491,-74.57932,14.0,181.3,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:25:48,37.75032,-74.57948,13.9,181.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:27:01,37.74567,-74.57966,14.0,182.6,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:29:31,37.73593,-74.58004,14.0,182.8,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:30:36,37.73178,-74.58018,13.9,182.0,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:31:42,37.72745,-74.58035,13.9,181.2,181.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:32:49,37.72319,-74.58057,13.9,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:33:54,37.71902,-74.58074,13.9,179.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:35:00,37.71472,-74.58093,13.9,181.9,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:36:54,37.70747,-74.58118,13.9,181.4,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:38:00,37.70316,-74.58136,13.9,181.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:40:36,37.69319,-74.5817,13.9,180.7,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
477188500,2020-01-01T04:41:42,37.68895,-74.58187,13.9,181.1,180.0,ANSAC PRIDE,IMO9619737,VRMF9,70.0
