MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366979360,2020-01-01T00:02:47,33.77086,-118.21213,0.1,190.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:05:46,33.77085,-118.21213,0.1,200.2,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:08:47,33.77087,-118.21214,0.1,197.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:11:47,33.77085,-118.21214,0.1,204.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:14:47,33.77085,-118.21213,0.1,188.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:17:47,33.77085,-118.21213,0.1,212.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:21:32,33.77018,-118.21436,6.4,251.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:23:32,33.76866,-118.21837,6.5,246.4,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:24:41,33.76767,-118.22049,6.4,231.9,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:27:02,33.76382,-118.22058,6.3,157.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:28:12,33.76186,-118.2196,6.7,161.3,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:30:02,33.75873,-118.21817,6.7,160.2,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:32:32,33.75416,-118.21768,6.6,196.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:34:03,33.75222,-118.21975,6.4,239.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:35:32,33.75155,-118.22279,6.5,269.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:37:03,33.75187,-118.22602,6.5,282.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:38:22,33.75245,-118.22882,6.5,285.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:41:23,33.7535,-118.23356,1.3,78.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:43:51,33.75357,-118.23366,0.1,195.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:49:50,33.7536,-118.23376,0.1,198.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:52:51,33.75364,-118.23381,0.0,209.4,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:55:50,33.75354,-118.23373,0.0,216.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T00:58:49,33.75343,-118.23366,0.0,202.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:01:51,33.75346,-118.2337,0.0,231.3,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:04:51,33.75353,-118.23375,0.2,332.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:07:51,33.75348,-118.23374,0.0,292.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:10:51,33.75355,-118.23375,0.1,211.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:13:49,33.75362,-118.23376,0.6,159.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:16:50,33.75358,-118.23377,0.1,175.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:20:02,33.7533,-118.23451,5.6,247.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:21:11,33.75304,-118.23533,0.9,204.4,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:23:29,33.75296,-118.23542,0.1,326.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:26:28,33.75298,-118.23543,0.1,62.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:29:28,33.75271,-118.23514,0.4,181.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:31:46,33.75255,-118.23528,3.2,164.2,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:34:48,33.75242,-118.2352,0.3,192.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:37:48,33.75173,-118.23453,1.5,135.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:40:48,33.7507,-118.23351,2.4,156.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:43:41,33.74959,-118.23193,3.3,144.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:44:52,33.74925,-118.23122,3.8,103.3,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:46:02,33.74923,-118.23007,3.7,93.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:47:41,33.74903,-118.22797,4.1,94.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:49:21,33.74891,-118.22561,5.0,95.5,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:51:11,33.74982,-118.22262,5.9,39.9,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:52:16,33.75039,-118.22104,5.1,130.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:53:20,33.74947,-118.22016,3.3,143.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:54:25,33.74862,-118.21932,5.1,141.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:55:28,33.74729,-118.21836,5.5,143.9,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:57:03,33.74507,-118.21664,7.2,162.1,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:58:22,33.74262,-118.21712,7.0,208.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T01:59:33,33.74059,-118.21831,7.0,205.2,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T02:00:00,33.7398,-118.21875,7.0,203.7,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T02:01:01,33.73795,-118.21968,7.0,203.6,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T02:02:02,33.73623,-118.22078,7.0,212.0,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
366979360,2020-01-01T02:03:03,33.73453,-118.22188,7.0,206.4,511.0,ARTHUR FOSS,IMO8219011,WRB5693,31.0
