MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338032969,2020-01-01T00:00:15,39.15371,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:00:36,25.73607,-80.22022,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:03:14,39.15371,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:03:38,25.73607,-80.22022,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:06:16,39.1537,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:06:38,25.73607,-80.22021,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:09:15,39.1537,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:09:38,25.73608,-80.22022,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:12:15,39.1537,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:12:36,25.73608,-80.22022,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T00:15:36,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:18:14,39.15373,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:18:37,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:21:16,39.15371,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:21:36,25.73609,-80.22025,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:24:16,39.15372,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:24:37,25.73609,-80.22025,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:27:15,39.15371,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:27:36,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:30:15,39.15372,-76.50043,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:30:36,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:33:14,39.15372,-76.50043,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:33:36,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T00:36:36,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:39:15,39.15371,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:39:36,25.73609,-80.22025,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T00:42:38,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:45:17,39.15372,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:45:37,25.73609,-80.22024,0.0,115.6,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:48:14,39.15372,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:48:38,25.7361,-80.22026,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:51:17,39.15372,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:51:38,25.7361,-80.22026,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:54:14,39.15371,-76.50044,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:54:37,25.73609,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T00:57:16,39.15371,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T00:57:36,25.73609,-80.22023,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:00:17,39.15371,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:00:37,25.73609,-80.22023,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:03:14,39.15371,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:03:36,25.73609,-80.22022,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:06:18,39.15371,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:06:37,25.73608,-80.22022,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:09:14,39.15371,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:09:36,25.73609,-80.22022,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:12:15,39.15372,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:12:36,25.73608,-80.22022,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:15:17,39.15371,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:15:36,25.73608,-80.22021,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:18:14,39.1537,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:18:37,25.73608,-80.22021,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:21:14,39.1537,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:21:36,25.73608,-80.22021,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:24:14,39.15371,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:24:36,25.73607,-80.22022,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:27:16,39.1537,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:27:36,25.73608,-80.22023,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:30:15,39.1537,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:30:37,25.73608,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T01:33:37,25.73609,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T01:36:36,25.73609,-80.22027,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:39:15,39.15371,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:39:36,25.7361,-80.22026,0.1,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T01:42:38,25.7361,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:45:15,39.15371,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:45:37,25.7361,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:48:14,39.15371,-76.50048,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:48:37,25.7361,-80.22025,0.1,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T01:51:37,25.7361,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T01:54:38,25.7361,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T01:57:14,39.15371,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T01:57:36,25.7361,-80.22026,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:00:15,39.15373,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:00:36,25.7361,-80.22026,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:03:15,39.15372,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:03:41,25.73609,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:06:16,39.15372,-76.50047,0.1,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:06:36,25.73608,-80.22026,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:09:15,39.15372,-76.50045,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:09:38,25.73608,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:12:15,39.15372,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:12:36,25.73609,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T02:15:36,25.73607,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:18:15,39.15371,-76.50047,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:18:37,25.73606,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:21:14,39.15372,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:21:36,25.73606,-80.22024,0.1,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:24:16,39.15371,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:24:37,25.73606,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
338032969,2020-01-01T02:27:15,39.15373,-76.50046,0.0,360.0,511.0,BALI HAI,IMO0000000,,36.0
368086360,2020-01-01T02:27:38,25.73607,-80.22024,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
368086360,2020-01-01T02:30:36,25.73607,-80.22025,0.0,170.8,511.0,BALI HAI,IMO0000000,WDK7643,37.0
