MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367521510,2020-01-01T00:00:06,29.9568,-90.14268,0.0,252.9,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:01:16,29.9568,-90.14267,0.0,254.2,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:02:25,29.9568,-90.14268,0.0,251.4,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:02:33,34.18039,-119.22861,0.0,73.8,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:03:35,29.95679,-90.14268,0.0,243.4,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:04:45,29.95681,-90.14269,0.0,247.6,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:05:32,34.1804,-119.2286,0.0,118.7,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:05:56,29.9568,-90.14268,0.0,243.8,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:07:05,29.95681,-90.14269,0.0,239.1,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:08:16,29.95678,-90.14271,0.0,235.3,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:08:32,34.18039,-119.2286,0.0,118.7,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:09:26,29.95679,-90.1427,0.0,259.3,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:10:35,29.95678,-90.14268,0.1,258.4,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:11:33,34.18039,-119.22862,0.0,44.1,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:11:46,29.95678,-90.14268,0.0,265.9,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:13:14,29.95678,-90.14267,0.0,279.9,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:14:26,29.95679,-90.14268,0.0,267.9,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:14:32,34.1804,-119.2286,0.0,44.1,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:15:45,29.95679,-90.14268,0.0,256.7,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:16:55,29.9568,-90.14267,0.0,270.9,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:18:45,29.95679,-90.14267,0.0,266.0,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:19:55,29.9568,-90.14267,0.0,254.0,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:20:33,34.18041,-119.22861,0.0,75.4,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:21:45,29.9568,-90.14267,0.1,267.9,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:22:56,29.95681,-90.14266,0.0,277.4,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:23:33,34.1804,-119.22861,0.0,75.4,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:25:04,29.95679,-90.14266,0.0,266.6,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:26:33,34.18039,-119.2286,0.0,75.4,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:26:46,29.95681,-90.14266,0.1,272.1,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:28:45,29.95681,-90.14266,0.1,262.4,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:29:34,34.18039,-119.2286,0.0,42.0,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:29:56,29.95679,-90.14267,0.0,252.4,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:31:55,29.95678,-90.1427,0.2,238.8,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:32:33,34.1804,-119.2286,0.0,42.0,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:33:55,29.95679,-90.14271,0.1,243.2,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:35:04,29.95679,-90.14271,0.1,312.0,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:35:34,34.1804,-119.2286,0.0,42.0,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:36:55,29.9568,-90.1427,0.0,327.4,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:38:05,29.9568,-90.1427,0.0,322.6,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:38:32,34.18039,-119.22861,0.0,42.0,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:40:26,29.9568,-90.1427,0.0,312.0,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:41:32,34.18039,-119.22861,0.0,352.6,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:41:45,29.95681,-90.14269,0.0,300.8,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:43:26,29.9568,-90.14268,0.0,278.8,511.0,BARBARA ANN,,WDG3008,31.0
367521510,2020-01-01T00:45:26,29.9568,-90.14269,0.1,258.3,511.0,BARBARA ANN,,WDG3008,31.0
338178609,2020-01-01T00:47:34,34.1804,-119.2286,0.0,352.6,511.0,BARBARA ANN,IMO0000000,,37.0
367521510,2020-01-01T00:47:36,29.95681,-90.14269,0.1,263.6,511.0,BARBARA ANN,,WDG3008,31.0
