MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
218629000,2020-01-01T04:14:11,24.39929,-80.21036,16.1,55.7,58.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T04:15:23,24.40228,-80.20557,16.0,56.0,58.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T04:16:35,24.40528,-80.20061,16.1,56.4,57.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:00:12,24.64503,-79.79247,14.5,49.3,39.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:01:29,24.64921,-79.78925,14.4,29.2,21.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:02:58,24.65476,-79.78672,14.5,21.2,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:04:05,24.65902,-79.78497,14.6,20.7,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:16:41,24.70738,-79.76471,14.7,21.8,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:21:17,24.72527,-79.757,14.8,21.4,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:22:41,24.73094,-79.7545,14.8,21.1,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:28:53,24.75426,-79.74454,14.8,21.5,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:30:05,24.75892,-79.74256,14.8,21.3,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:31:17,24.76354,-79.74059,14.8,21.0,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:32:53,24.76971,-79.738,14.8,21.5,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:34:05,24.77432,-79.736,14.8,21.5,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:35:11,24.77856,-79.73419,14.8,21.3,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:36:17,24.78281,-79.73238,14.8,21.2,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:37:29,24.78737,-79.73043,14.9,21.1,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:38:35,24.79169,-79.72864,14.8,21.1,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:39:40,24.79597,-79.72689,14.9,20.2,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:40:47,24.80031,-79.72516,14.8,20.3,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:41:53,24.80457,-79.72342,14.9,20.6,19.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
218629000,2020-01-01T06:44:29,24.81475,-79.71931,14.9,20.1,18.0,BBC SWITZERLAND,IMO9433315,DGFL2,70.0
