MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366995840,2020-01-01T00:00:11,29.74793,-95.09773,0.0,277.0,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:01:20,29.74794,-95.09775,0.0,206.0,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:02:31,29.74793,-95.09774,0.0,212.8,47.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:03:42,29.74794,-95.09773,0.0,30.5,47.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:04:52,29.74793,-95.09775,0.1,235.9,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:06:01,29.74793,-95.09774,0.0,321.8,47.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:07:10,29.74793,-95.09773,0.0,132.4,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:08:11,29.74793,-95.09772,0.0,219.5,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:09:30,29.74793,-95.09774,0.0,214.6,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:10:41,29.74794,-95.09772,0.0,319.8,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:11:51,29.74794,-95.09774,0.0,206.1,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:13:30,29.74794,-95.09773,0.0,91.1,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:14:41,29.74792,-95.09773,0.0,52.9,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:16:30,29.74794,-95.09772,0.0,275.2,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:18:21,29.74793,-95.09772,0.0,255.4,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:19:30,29.74793,-95.09773,0.0,252.4,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:21:01,29.74793,-95.09772,0.0,228.9,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:23:10,29.74793,-95.09772,0.0,180.3,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:24:21,29.74793,-95.09772,0.0,174.4,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:25:31,29.74794,-95.09771,0.0,219.7,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:27:21,29.74793,-95.09772,0.0,188.8,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:29:10,29.74793,-95.09773,0.0,258.8,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:30:21,29.74793,-95.09773,0.0,262.6,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:31:31,29.74793,-95.09773,0.0,166.8,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:33:10,29.74793,-95.09773,0.0,281.8,47.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:35:11,29.74794,-95.09772,0.0,192.8,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:36:21,29.74792,-95.09773,0.0,209.6,47.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:39:11,29.74793,-95.09774,0.0,214.1,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:40:21,29.74794,-95.09772,0.0,237.6,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:41:22,29.74794,-95.09772,0.0,254.0,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:44:31,29.74793,-95.09774,0.0,251.7,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:46:01,29.74795,-95.09772,0.0,240.2,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:47:40,29.74793,-95.09773,0.0,244.8,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:50:01,29.74795,-95.09771,0.0,211.9,47.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:52:01,29.74791,-95.09775,0.0,234.2,49.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:54:00,29.74794,-95.09773,0.0,254.5,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:55:50,29.74795,-95.09773,0.0,201.8,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:57:41,29.74794,-95.09772,0.0,280.0,48.0,BIG AL,,WDC2635,31.0
366995840,2020-01-01T00:58:50,29.74792,-95.09773,0.0,223.1,47.0,BIG AL,,WDC2635,31.0
