MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367416750,2020-01-01T00:00:11,29.36517,-89.54678,13.4,108.4,105.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:01:22,29.36389,-89.54196,13.4,105.1,102.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:02:32,29.36279,-89.53712,13.5,104.4,102.0,BLUEFIN,IMO9565596,WDG9742,31.0
367070510,2020-01-01T00:02:35,47.64631,-122.33996,0.0,351.0,511.0,BLUEFIN,IMO8036586,WDC7379,70.0
367416750,2020-01-01T00:03:42,29.36171,-89.53226,13.5,104.1,102.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:04:52,29.36065,-89.5274,13.5,104.4,102.0,BLUEFIN,IMO9565596,WDG9742,31.0
367070510,2020-01-01T00:05:35,47.64633,-122.33994,0.0,351.0,511.0,BLUEFIN,IMO8036586,WDC7379,70.0
367416750,2020-01-01T00:06:01,29.35956,-89.52263,13.4,105.2,104.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:07:10,29.3583,-89.51795,13.4,109.4,108.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:08:12,29.35699,-89.51383,13.3,111.9,112.0,BLUEFIN,IMO9565596,WDG9742,31.0
367070510,2020-01-01T00:08:34,47.64632,-122.33991,0.0,351.0,511.0,BLUEFIN,IMO8036586,WDC7379,70.0
367416750,2020-01-01T00:09:32,29.355,-89.50871,13.2,115.1,113.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:10:42,29.35313,-89.50431,13.1,117.3,116.0,BLUEFIN,IMO9565596,WDG9742,31.0
367070510,2020-01-01T00:11:36,47.64627,-122.33991,0.0,27.2,511.0,BLUEFIN,IMO8036586,WDC7379,70.0
367416750,2020-01-01T00:11:51,29.35117,-89.50005,13.1,117.7,114.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:13:02,29.34917,-89.49568,13.1,117.8,114.0,BLUEFIN,IMO9565596,WDG9742,31.0
367416750,2020-01-01T00:14:12,29.34723,-89.49136,13.1,116.9,113.0,BLUEFIN,IMO9565596,WDG9742,31.0
367070510,2020-01-01T00:14:36,47.6463,-122.33993,0.0,14.4,511.0,BLUEFIN,IMO8036586,WDC7379,70.0
367416750,2020-01-01T00:15:21,29.34541,-89.4871,13.1,114.8,110.0,BLUEFIN,IMO9565596,WDG9742,31.0
