MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
303628000,2020-01-01T00:01:09,53.94378,-166.55885,7.1,357.9,357.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:02:19,53.94615,-166.559,7.0,354.8,355.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:03:29,53.94847,-166.55913,6.9,358.6,357.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:04:40,53.95069,-166.55923,6.8,359.2,357.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:05:48,53.9529,-166.55931,7.0,1.3,358.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:06:58,53.95486,-166.5595,6.9,357.8,358.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:08:09,53.95726,-166.55955,7.4,359.0,357.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:09:18,53.95965,-166.55975,7.4,355.3,356.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:10:29,53.96206,-166.56002,7.3,344.6,347.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:11:39,53.96435,-166.56053,7.0,351.3,350.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:12:48,53.96661,-166.56098,6.8,353.3,346.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:14:29,53.96956,-166.56206,6.3,346.8,347.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:15:33,53.97149,-166.56264,7.7,346.3,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:16:39,53.97364,-166.56375,6.8,349.2,344.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:17:48,53.97595,-166.56472,7.4,347.9,342.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:18:54,53.97772,-166.56551,6.9,345.3,342.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:20:04,53.97992,-166.5666,6.7,342.9,342.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:21:10,53.98204,-166.56766,6.3,341.3,340.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:22:19,53.98388,-166.56864,5.1,342.0,343.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:23:30,53.98577,-166.56952,6.5,342.1,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:24:33,53.98759,-166.57038,7.3,343.5,343.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:25:40,53.98969,-166.57145,6.4,343.2,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:26:50,53.99175,-166.57252,6.5,343.9,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:27:59,53.99383,-166.57354,5.9,349.1,348.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:29:20,53.99605,-166.57455,6.2,344.4,342.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:30:29,53.99793,-166.57542,6.5,338.7,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:31:40,53.99979,-166.57629,6.2,346.9,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:32:49,54.00158,-166.57704,5.8,344.7,342.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:35:10,54.00516,-166.57851,5.3,339.0,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:36:49,54.0077,-166.5796,5.0,352.3,344.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:38:00,54.00962,-166.58031,5.6,343.3,339.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:39:13,54.01146,-166.58117,6.4,340.3,341.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:40:20,54.01336,-166.58207,6.8,350.1,343.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
303628000,2020-01-01T00:41:28,54.01516,-166.58288,6.3,350.4,344.0,BOUNTIFUL,IMO7814656,WSX6805,30.0
