MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338166217,2020-01-01T18:11:15,26.88057,-80.06916,6.7,169.4,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:17:45,26.86845,-80.0656,7.1,190.7,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:25:14,26.85502,-80.06708,6.8,180.8,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:32:15,26.8424,-80.06645,4.9,175.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:35:16,26.83711,-80.06597,6.9,169.7,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:37:45,26.83315,-80.06326,7.2,123.8,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:41:17,26.8294,-80.0568,7.0,118.3,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:44:45,26.81478,-80.05068,21.1,170.6,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:48:15,26.7946,-80.04655,21.3,178.5,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:50:45,26.78377,-80.04545,4.7,170.2,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:52:15,26.78199,-80.04441,6.2,92.9,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:54:16,26.78123,-80.04121,5.8,174.4,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:55:17,26.77964,-80.04102,5.8,171.8,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T18:58:15,26.77522,-80.0405,4.9,153.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:00:15,26.77348,-80.04026,4.6,352.3,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:01:17,26.77441,-80.041,3.7,335.0,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:20:45,26.77485,-80.04228,0.1,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:26:45,26.77486,-80.04234,0.3,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:44:45,26.77487,-80.04235,0.2,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:47:45,26.77487,-80.04236,0.0,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:50:45,26.77484,-80.0423,0.0,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T19:53:46,26.77485,-80.04231,0.2,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:05:45,26.77487,-80.04234,0.0,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:11:45,26.77487,-80.04235,0.2,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:23:45,26.77487,-80.04234,0.0,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:26:45,26.77486,-80.04234,0.0,316.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:43:15,26.77536,-80.04197,4.3,79.3,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:44:45,26.77444,-80.04019,4.0,36.9,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:46:46,26.77718,-80.04112,5.6,358.0,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:49:17,26.78021,-80.04108,5.5,4.0,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:51:46,26.78209,-80.04437,6.7,284.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:55:16,26.79447,-80.04608,18.7,2.3,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T20:56:47,26.80273,-80.04717,21.2,353.6,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:02:16,26.82932,-80.05622,5.9,308.1,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:03:45,26.83071,-80.05864,6.4,309.6,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:05:46,26.83228,-80.06165,6.1,304.9,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:10:15,26.83883,-80.06591,5.9,351.9,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:19:45,26.85516,-80.06693,6.2,3.2,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:22:16,26.85936,-80.06719,6.4,1.8,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:27:15,26.86792,-80.06568,6.4,20.3,511.0,C SCULPTURE TOO,,,37.0
338166217,2020-01-01T21:28:45,26.87061,-80.06583,6.6,342.6,511.0,C SCULPTURE TOO,,,37.0
