MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338149258,2020-01-01T00:04:02,30.03886,-90.01654,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:06:11,29.86842,-93.92585,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:07:00,30.03884,-90.01655,0.0,0.0,511.0,CAROL ANN,,,37.0
338149258,2020-01-01T00:10:03,30.03886,-90.01655,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:12:11,29.86842,-93.92586,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338213731,2020-01-01T00:15:11,29.86842,-93.92586,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:16:00,30.03884,-90.01654,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:18:12,29.86842,-93.92587,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:19:01,30.03884,-90.01657,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:21:11,29.86842,-93.92586,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:22:00,30.03884,-90.01655,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:24:11,29.86841,-93.92585,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:25:04,30.03885,-90.01658,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:27:13,29.86841,-93.92587,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:28:00,30.03884,-90.01655,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:30:11,29.8684,-93.92585,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:31:00,30.03885,-90.01653,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:33:12,29.86842,-93.92586,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:34:01,30.03884,-90.01655,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:36:11,29.86841,-93.92586,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
338149258,2020-01-01T00:37:00,30.03887,-90.01658,0.0,0.0,511.0,CAROL ANN,,,37.0
338149258,2020-01-01T00:40:01,30.03883,-90.01657,0.0,0.0,511.0,CAROL ANN,,,37.0
338149258,2020-01-01T00:43:00,30.03886,-90.01655,0.0,0.0,511.0,CAROL ANN,,,37.0
338213731,2020-01-01T00:45:11,29.86842,-93.92586,0.0,360.0,511.0,CAROL ANN,IMO0000000,,36.0
