MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
248939000,2020-01-01T01:51:02,18.37511,-63.83341,19.8,317.8,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T01:52:43,18.38189,-63.84002,19.7,316.9,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T01:56:08,18.39562,-63.85336,19.6,319.5,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:03:37,18.42562,-63.88287,20.0,316.2,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:06:02,18.43548,-63.89252,20.0,318.4,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:10:02,18.45173,-63.90828,19.9,318.4,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:11:08,18.45619,-63.91267,19.9,315.4,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:12:19,18.46107,-63.91747,20.0,316.5,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:14:02,18.46796,-63.92426,20.0,317.4,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:16:02,18.47609,-63.93223,19.9,316.8,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:17:25,18.48169,-63.93775,20.0,315.4,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:18:43,18.48696,-63.94292,19.8,317.7,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:19:55,18.49182,-63.9477,20.0,317.7,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:21:02,18.49635,-63.95215,19.9,315.1,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:23:02,18.50446,-63.96016,19.8,316.6,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:25:02,18.51248,-63.96795,19.5,316.6,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:27:37,18.52275,-63.97794,19.6,317.2,319.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:29:57,18.53207,-63.98705,19.5,317.4,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:32:07,18.5407,-63.99553,19.7,315.6,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:33:19,18.54547,-64.00026,19.6,316.8,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:35:07,18.55272,-64.00725,19.6,317.7,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:36:19,18.55751,-64.01197,19.8,317.1,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:37:25,18.56193,-64.01632,19.8,317.1,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:38:37,18.56671,-64.02108,19.7,315.2,317.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
248939000,2020-01-01T02:41:19,18.57751,-64.03173,19.6,317.4,318.0,CELEBRITY SILHOUETTE,IMO9451094,9HA2583,60.0
