MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
351468000,2020-01-01T16:58:35,25.0778,-77.32545,0.0,341.7,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:00:35,25.07782,-77.32542,0.0,339.7,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:02:35,25.07778,-77.32542,0.0,335.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:03:36,25.07777,-77.32537,0.0,327.8,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:04:55,25.07776,-77.32544,0.0,312.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:06:14,25.07776,-77.3254,0.0,305.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:07:44,25.07775,-77.32545,0.0,292.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:09:06,25.07779,-77.3254,0.0,288.2,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:10:24,25.07775,-77.32537,0.0,287.0,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:11:25,25.07775,-77.32542,0.0,292.8,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:13:06,25.07777,-77.32537,0.0,293.7,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:14:14,25.07774,-77.32537,0.0,289.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:17:25,25.07776,-77.32538,0.0,278.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T17:18:44,25.0778,-77.32535,0.0,275.2,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T21:47:36,25.0778,-77.3254,0.0,252.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T21:52:36,25.07778,-77.32541,0.0,258.0,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T21:53:56,25.07774,-77.32537,0.0,253.6,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T21:56:15,25.07777,-77.32541,0.0,264.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T21:59:35,25.07779,-77.32538,0.0,255.8,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:01:14,25.07779,-77.32542,0.0,253.8,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:02:45,25.07777,-77.32543,0.0,245.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:06:15,25.07778,-77.32537,0.0,235.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:07:25,25.07781,-77.32537,0.0,236.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:08:56,25.07782,-77.32539,0.1,237.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:10:05,25.07781,-77.32544,0.0,236.5,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:11:35,25.07782,-77.3254,0.0,241.8,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:12:55,25.07781,-77.32544,0.0,252.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:14:15,25.07782,-77.32533,0.0,265.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:15:44,25.07776,-77.32545,0.0,268.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:17:26,25.07777,-77.32544,0.0,275.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:19:34,25.07777,-77.32539,0.0,279.8,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:21:34,25.07778,-77.32541,0.0,260.4,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:22:55,25.07782,-77.32538,0.0,244.2,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:24:26,25.07775,-77.3255,0.0,236.9,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:26:15,25.0778,-77.32541,0.0,233.6,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:27:56,25.07779,-77.3254,0.0,230.9,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:30:15,25.07777,-77.32542,0.1,226.3,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:34:04,25.07778,-77.32543,0.0,221.9,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:35:15,25.07777,-77.32546,0.0,223.8,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:36:24,25.07779,-77.32538,0.1,228.6,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:37:45,25.07781,-77.32535,0.0,228.9,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:39:15,25.07778,-77.32538,0.0,229.5,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:40:36,25.07778,-77.32543,0.0,229.5,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:41:45,25.07781,-77.32545,0.0,229.8,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:44:46,25.07777,-77.32542,0.0,230.5,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:45:54,25.07778,-77.32541,0.0,227.3,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:47:05,25.07778,-77.32537,0.0,224.2,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:48:14,25.07778,-77.32541,0.0,222.1,105.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:50:54,25.07777,-77.32542,0.0,218.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:52:44,25.07779,-77.32537,0.0,226.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:56:04,25.07777,-77.32544,0.0,224.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:57:14,25.07775,-77.32544,0.0,226.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:58:25,25.07772,-77.32541,0.0,231.0,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T22:59:35,25.07778,-77.32542,0.0,229.2,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:00:06,25.07783,-77.32541,0.0,227.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:01:16,25.07776,-77.32545,0.0,228.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:02:24,25.07779,-77.32539,0.0,224.5,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:03:35,25.07779,-77.32539,0.0,219.5,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:04:46,25.07777,-77.32546,0.0,216.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:05:55,25.07779,-77.32533,0.0,216.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:07:04,25.07776,-77.32536,0.0,220.2,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:08:16,25.07777,-77.32538,0.0,220.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:09:45,25.07779,-77.32535,0.0,219.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:11:04,25.07775,-77.32543,0.0,222.6,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:12:35,25.07778,-77.32532,0.0,231.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:14:04,25.07772,-77.32542,0.0,226.3,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:15:15,25.07779,-77.32534,0.0,224.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:16:24,25.07775,-77.32541,0.0,221.2,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:18:04,25.07776,-77.32544,0.0,219.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:19:06,25.07777,-77.32543,0.0,213.9,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:20:14,25.07775,-77.32543,0.0,215.7,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:22:14,25.07776,-77.32543,0.0,214.5,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:23:26,25.07777,-77.32543,0.0,210.6,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:24:34,25.07777,-77.32542,0.0,213.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:25:46,25.07776,-77.32546,0.0,213.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:26:56,25.07779,-77.32544,0.0,212.1,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:28:04,25.07778,-77.32542,0.0,208.4,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:29:25,25.07777,-77.32543,0.0,209.2,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:31:05,25.07774,-77.32538,0.0,206.0,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:32:25,25.07777,-77.32538,0.0,200.6,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:33:46,25.07781,-77.32536,0.0,200.6,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:35:44,25.07779,-77.3254,0.0,204.7,106.0,CHAMPION III,IMO9550656,HO7207,70.0
351468000,2020-01-01T23:36:55,25.07777,-77.32538,0.0,204.5,106.0,CHAMPION III,IMO9550656,HO7207,70.0
