MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366935000,2020-01-01T04:04:13,27.60226,-90.81731,11.1,14.6,15.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T04:05:52,27.60718,-90.81579,11.1,14.8,14.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T04:29:33,27.67835,-90.79474,11.2,12.9,11.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T04:50:32,27.74261,-90.77849,11.1,10.6,9.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T04:59:14,27.76903,-90.77254,11.1,11.4,9.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:01:02,27.77452,-90.77126,11.1,11.4,9.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:09:23,27.80002,-90.76556,11.1,12.0,9.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:15:23,27.81786,-90.75865,11.4,23.7,20.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:26:24,27.85022,-90.74225,11.6,24.1,20.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:29:12,27.85855,-90.7381,11.5,22.9,20.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:30:24,27.86203,-90.73645,11.5,22.5,20.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:39:02,27.8866,-90.72513,10.9,21.7,22.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:49:23,27.91545,-90.7121,10.8,22.0,22.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T05:58:02,27.93943,-90.7009,10.8,22.4,22.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:02:43,27.95241,-90.6947,10.8,22.8,22.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:04:53,27.9584,-90.69184,10.8,22.6,22.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:06:02,27.96161,-90.69029,10.8,22.9,22.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:23:23,28.00824,-90.66486,10.6,38.0,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:30:23,28.02457,-90.65027,10.7,38.5,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:32:42,28.02997,-90.64536,10.7,38.7,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:34:32,28.03426,-90.64153,10.7,39.1,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:35:33,28.03662,-90.63938,10.6,38.4,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:38:43,28.04402,-90.63267,10.7,38.6,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:40:32,28.04826,-90.62878,10.7,38.8,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:42:22,28.05249,-90.62496,10.6,38.7,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
366935000,2020-01-01T06:46:02,28.06093,-90.61715,10.6,39.5,39.0,CHARLIE COMEAUX,IMO9670327,WDG8528,90.0
