MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366995980,2020-01-01T00:02:35,30.02617,-94.03794,0.0,73.5,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:05:36,30.02617,-94.03794,0.0,219.9,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:08:35,30.02617,-94.03794,0.0,44.9,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:11:35,30.02617,-94.03794,0.0,273.2,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:14:35,30.02617,-94.03794,0.0,120.0,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:17:36,30.02617,-94.03794,0.0,238.1,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:20:35,30.02618,-94.03794,0.0,335.0,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:23:36,30.02617,-94.03794,0.0,1.6,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:26:36,30.02617,-94.03793,0.0,234.5,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:29:36,30.02618,-94.03794,0.0,93.1,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:32:36,30.02616,-94.03794,0.0,89.0,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:35:36,30.02617,-94.03794,0.0,80.1,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:38:36,30.02617,-94.03794,0.0,141.8,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:41:37,30.02617,-94.03794,0.0,344.6,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:44:36,30.02617,-94.03794,0.0,124.1,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:47:36,30.02616,-94.03795,0.0,90.4,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:50:37,30.02617,-94.03794,0.0,161.5,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:54:32,30.02617,-94.03794,0.1,92.8,511.0,CITY OF FREEPORT,,WDC2648,31.0
366995980,2020-01-01T00:55:43,30.02617,-94.03795,0.0,101.3,511.0,CITY OF FREEPORT,,WDC2648,31.0
