MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367343510,2020-01-01T00:00:16,38.53839,-90.25602,0.0,268.8,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:01:26,38.53839,-90.25602,0.0,299.4,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:02:35,38.53839,-90.25601,0.0,295.5,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:03:46,38.53839,-90.25602,0.0,335.5,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:04:56,38.53838,-90.25602,0.0,263.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:06:05,38.5384,-90.25601,0.0,321.1,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:07:15,38.53839,-90.25601,0.0,269.9,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:08:26,38.53839,-90.25601,0.0,315.3,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:09:35,38.53839,-90.25601,0.0,254.7,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:10:46,38.53839,-90.25601,0.0,330.8,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:11:55,38.53839,-90.25601,0.0,191.4,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:13:06,38.5384,-90.25601,0.0,273.9,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:14:35,38.53839,-90.25601,0.0,140.8,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:15:44,38.5384,-90.25601,0.0,316.4,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:16:45,38.53839,-90.25601,0.0,320.5,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:17:55,38.53839,-90.25601,0.0,326.2,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:19:06,38.5384,-90.25601,0.1,281.1,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:20:14,38.53839,-90.25602,0.0,0.1,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:22:04,38.53839,-90.25601,0.0,258.0,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:23:14,38.53839,-90.25601,0.1,190.2,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:25:04,38.53839,-90.25602,0.0,268.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:26:15,38.53839,-90.25602,0.0,258.3,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:27:25,38.53839,-90.25602,0.0,141.8,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:28:36,38.53839,-90.25601,0.0,271.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:29:44,38.53839,-90.25602,0.0,307.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:31:46,38.53839,-90.25603,0.0,86.4,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:33:55,38.5384,-90.256,0.0,117.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:35:06,38.53839,-90.25602,0.0,210.9,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:36:15,38.5384,-90.25602,0.0,199.8,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:37:26,38.53837,-90.25602,0.0,256.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:38:36,38.53839,-90.256,0.0,47.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:39:45,38.5384,-90.256,0.0,325.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:40:55,38.53841,-90.25599,0.0,175.1,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:43:46,38.53839,-90.25601,0.0,277.1,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:45:46,38.5384,-90.256,0.0,250.9,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:48:04,38.53837,-90.25605,0.0,219.1,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:50:04,38.53839,-90.25602,0.0,110.1,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:52:04,38.53839,-90.25602,0.0,1.9,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:53:15,38.53839,-90.25601,0.0,83.7,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:54:26,38.53838,-90.25601,0.0,47.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:58:05,38.53839,-90.25602,0.0,25.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T00:59:15,38.53839,-90.25602,0.0,246.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:00:15,38.53839,-90.25603,0.0,272.3,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:01:25,38.53839,-90.25602,0.0,293.7,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:02:35,38.53839,-90.25602,0.0,267.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:03:46,38.53837,-90.25603,0.0,237.5,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:04:55,38.53838,-90.25604,0.0,309.9,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:06:24,38.53838,-90.256,0.0,238.1,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:07:35,38.53837,-90.25602,0.0,198.8,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:08:46,38.53838,-90.25602,0.0,181.4,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:09:54,38.53839,-90.25601,0.0,282.4,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:11:06,38.53838,-90.25602,0.0,111.2,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:12:25,38.53839,-90.256,0.0,246.8,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:13:35,38.53838,-90.256,0.0,252.2,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:14:44,38.5384,-90.256,0.0,211.7,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:16:05,38.5384,-90.25602,0.0,271.0,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:17:15,38.5384,-90.25605,0.0,269.8,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:19:05,38.53837,-90.25603,0.0,270.5,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:20:15,38.53838,-90.25603,0.0,51.1,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:21:26,38.53836,-90.25608,0.0,286.5,33.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:22:36,38.53839,-90.25602,0.0,271.6,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:23:55,38.53838,-90.25601,0.0,35.1,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:26:04,38.53839,-90.25602,0.0,225.1,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:27:15,38.53838,-90.256,0.0,181.0,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:28:26,38.53839,-90.25601,0.0,173.6,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:29:35,38.5384,-90.25601,0.0,242.2,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:32:04,38.5384,-90.25603,0.0,184.2,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:34:45,38.53839,-90.25604,0.0,223.3,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:35:56,38.53837,-90.25603,0.0,287.6,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:38:25,38.5384,-90.25605,0.0,223.7,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:39:36,38.53838,-90.25601,0.0,349.5,35.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:42:25,38.53839,-90.25602,0.0,270.1,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:44:25,38.53839,-90.256,0.0,299.4,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:47:16,38.53839,-90.25602,0.0,1.2,34.0,DALE ROBBINS,,WDE3738,31.0
367343510,2020-01-01T01:50:44,38.5384,-90.25602,0.0,159.5,34.0,DALE ROBBINS,,WDE3738,31.0
