MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367446540,2020-01-01T20:33:25,30.43991,-91.19181,0.2,326.4,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:34:55,30.43988,-91.19173,0.2,158.1,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:36:04,30.4399,-91.19176,0.0,161.2,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:37:07,30.43988,-91.19174,0.1,161.7,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:38:55,30.43967,-91.19186,1.4,204.7,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:41:56,30.43228,-91.19894,6.2,242.0,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:43:44,30.43175,-91.19984,5.5,209.7,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:45:01,30.43147,-91.20025,0.4,296.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:46:02,30.43152,-91.20033,0.5,295.7,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:47:03,30.43148,-91.20043,0.3,208.9,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:50:01,30.43156,-91.20038,0.2,155.0,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:53:01,30.43138,-91.20046,0.4,179.5,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:54:02,30.43128,-91.20021,0.4,85.3,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:57:01,30.4326,-91.20029,0.4,218.7,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:58:21,30.43225,-91.20031,1.0,325.6,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T20:59:22,30.43277,-91.20031,1.1,355.2,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:00:12,30.43289,-91.20033,0.3,14.0,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:01:14,30.43299,-91.20041,0.3,224.5,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:02:22,30.43296,-91.20041,0.3,191.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:03:25,30.43305,-91.20046,0.5,317.3,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:04:31,30.43133,-91.20002,12.8,183.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:05:39,30.4244,-91.20076,25.9,186.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:06:47,30.41633,-91.20278,25.0,200.3,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:08:01,30.408,-91.20668,26.9,207.0,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:09:09,30.40052,-91.21159,27.2,213.6,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:10:13,30.39675,-91.21466,10.2,219.4,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:11:15,30.39412,-91.21677,10.6,212.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:12:23,30.39172,-91.21822,5.5,162.2,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:13:46,30.3916,-91.21769,0.1,38.0,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:14:55,30.3916,-91.2177,0.1,354.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:16:05,30.39168,-91.21784,1.8,300.2,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:17:36,30.39235,-91.21826,2.6,33.4,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:18:46,30.39317,-91.21771,6.8,32.6,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:20:47,30.40135,-91.21149,19.5,33.4,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:22:47,30.41126,-91.20596,20.3,23.3,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:23:53,30.41707,-91.20345,20.2,20.0,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:25:23,30.42508,-91.20007,20.6,19.8,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:27:23,30.43341,-91.19458,7.0,9.9,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:28:49,30.43617,-91.19387,17.4,14.2,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:29:59,30.43983,-91.19213,2.9,24.3,511.0,DEUCE ARMENTOR,,WDF3988,60.0
367446540,2020-01-01T21:31:05,30.43998,-91.19205,0.0,105.7,511.0,DEUCE ARMENTOR,,WDF3988,60.0
