MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367428620,2020-01-01T00:00:11,29.463,-92.24479,8.2,295.3,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:01:21,29.46403,-92.24755,8.2,291.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:02:31,29.46498,-92.25039,8.2,291.1,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:03:41,29.46595,-92.25325,8.2,290.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:05:01,29.46707,-92.25652,8.2,291.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:06:11,29.46807,-92.25936,8.2,290.2,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:07:21,29.46909,-92.26215,8.2,291.2,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:08:51,29.4704,-92.26576,8.2,295.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:10:00,29.47101,-92.26854,8.1,269.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:11:21,29.47143,-92.27201,8.2,294.9,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:12:31,29.47245,-92.27476,8.2,292.3,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:13:51,29.47359,-92.27805,8.2,292.1,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:15:01,29.47467,-92.28082,8.1,292.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:16:12,29.47572,-92.28359,8.1,287.3,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:17:21,29.47657,-92.28643,8.2,297.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:18:30,29.47764,-92.28913,8.1,292.3,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:19:42,29.47872,-92.29198,8.1,293.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:21:01,29.47994,-92.29515,8.1,293.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:23:11,29.48194,-92.30026,8.1,296.2,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:24:21,29.48289,-92.30305,8.1,292.3,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:25:30,29.48401,-92.30572,8.0,294.1,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:27:21,29.48562,-92.31005,8.0,296.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:28:50,29.48714,-92.31341,8.0,299.9,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:30:21,29.48913,-92.31643,7.9,331.2,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:33:21,29.49542,-92.31565,7.5,6.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:36:01,29.50097,-92.31464,7.5,9.8,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:38:01,29.50507,-92.31386,7.4,10.1,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:41:01,29.51104,-92.31266,7.3,11.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:43:01,29.51508,-92.31177,7.5,10.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:45:11,29.51953,-92.31088,7.5,9.8,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:47:31,29.52428,-92.31001,7.3,9.6,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:50:51,29.53113,-92.30891,7.5,8.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:52:31,29.53459,-92.30832,7.6,8.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:55:31,29.54087,-92.30723,7.1,7.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:57:21,29.54299,-92.30681,2.3,14.9,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:58:31,29.54342,-92.30666,0.5,19.1,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T00:59:41,29.54343,-92.30665,0.1,171.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:00:21,29.54336,-92.30667,0.4,200.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:01:31,29.54332,-92.30668,0.1,88.0,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:02:40,29.54332,-92.30667,0.0,88.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:03:51,29.54339,-92.30663,0.2,20.6,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:05:01,29.54349,-92.3066,0.5,11.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:06:21,29.54371,-92.30654,0.6,14.3,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:07:31,29.54396,-92.30649,0.7,15.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:08:41,29.54402,-92.30646,0.1,30.2,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:09:51,29.5441,-92.30645,0.2,14.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:11:00,29.54404,-92.30644,0.2,167.7,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:12:11,29.5441,-92.30643,0.2,23.8,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:13:30,29.54416,-92.30639,0.1,19.8,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:15:30,29.5445,-92.30633,2.3,10.6,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:17:00,29.5457,-92.3061,2.5,8.6,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:18:12,29.54639,-92.30589,1.8,14.4,511.0,DIP,,WDF2482,90.0
367428620,2020-01-01T01:19:21,29.54687,-92.30572,1.5,10.3,511.0,DIP,,WDF2482,90.0
