MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368116960,2020-01-01T00:00:10,38.93448,-82.1131,0.0,169.6,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:01:31,38.9345,-82.11311,0.0,191.9,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:02:49,38.93447,-82.1131,0.0,183.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:03:50,38.93453,-82.11259,4.6,37.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:05:10,38.93559,-82.1117,1.2,54.4,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:06:41,38.93583,-82.11115,4.1,31.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:07:50,38.93718,-82.11055,4.6,15.6,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:08:59,38.9384,-82.1111,1.2,277.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:11:20,38.93837,-82.11108,0.2,3.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:13:01,38.93879,-82.11065,0.2,24.9,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:15:01,38.93959,-82.11052,5.3,290.2,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:16:10,38.9398,-82.11083,2.2,170.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:18:01,38.93956,-82.1108,0.2,174.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:20:40,38.93957,-82.11081,0.1,185.2,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:22:01,38.93879,-82.1099,7.8,175.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:23:10,38.93612,-82.11078,9.0,203.1,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:24:19,38.93358,-82.1125,7.9,215.9,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:25:31,38.93214,-82.11388,1.1,300.4,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:26:41,38.93223,-82.11391,0.1,346.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:27:50,38.93223,-82.11393,0.3,339.5,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:29:01,38.9324,-82.11386,0.5,22.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:30:10,38.9327,-82.1137,1.4,21.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:31:20,38.93291,-82.11364,0.1,31.3,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:32:30,38.93292,-82.11361,0.4,99.1,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:33:39,38.93371,-82.11309,1.1,6.2,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:35:00,38.93367,-82.11307,1.6,202.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:36:10,38.93367,-82.11309,0.3,351.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:37:20,38.93325,-82.11302,4.6,185.6,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:39:41,38.92926,-82.11391,6.4,193.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:42:31,38.92716,-82.11492,1.8,315.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:43:50,38.92729,-82.11534,0.1,298.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:45:10,38.92731,-82.11533,0.1,296.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:46:31,38.92735,-82.11533,0.1,293.1,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:47:59,38.92766,-82.11488,5.4,23.6,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:49:20,38.92977,-82.11428,6.1,7.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:50:30,38.93118,-82.11415,0.2,337.2,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:51:39,38.93126,-82.11407,0.1,25.1,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:52:40,38.93127,-82.11407,0.2,42.5,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:53:49,38.93127,-82.11405,0.3,43.2,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:55:30,38.93127,-82.11405,0.3,241.1,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:57:00,38.93123,-82.11355,1.8,110.7,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:58:19,38.93045,-82.1135,2.1,225.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T00:59:31,38.93055,-82.11385,1.7,334.5,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T01:00:40,38.93127,-82.11387,2.5,9.4,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T01:02:00,38.93202,-82.11366,1.1,11.4,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T01:03:11,38.93209,-82.11364,0.2,333.8,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T01:04:30,38.93214,-82.11373,0.3,309.0,511.0,EDMCLAUGHLIN,,WDL2954,8.0
368116960,2020-01-01T01:05:39,38.93216,-82.11381,0.2,275.3,511.0,EDMCLAUGHLIN,,WDL2954,8.0
