MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367743660,2020-01-01T00:00:12,29.98047,-90.39919,2.2,209.1,305.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:01:22,29.98016,-90.39978,1.4,250.0,312.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:02:32,29.98,-90.40021,1.2,246.8,312.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:03:42,29.97979,-90.40061,1.3,240.0,317.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:04:51,29.9797,-90.40108,1.6,270.1,326.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:06:02,29.97972,-90.4014,0.8,233.3,331.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:07:11,29.97957,-90.40151,0.5,166.1,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:08:21,29.97965,-90.40147,0.3,82.8,336.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:09:31,29.97964,-90.40139,0.1,305.9,330.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:10:42,29.97968,-90.40149,0.8,324.5,332.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:12:12,29.97994,-90.40167,0.4,306.9,332.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:13:21,29.97995,-90.40177,0.3,230.2,337.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:14:30,29.97998,-90.4018,0.0,100.5,337.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:15:31,29.97993,-90.40179,0.3,249.0,341.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:16:41,29.97992,-90.40185,0.3,261.5,346.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:18:42,29.97993,-90.40183,0.0,354.0,345.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:20:42,29.97992,-90.40182,0.0,34.6,345.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:21:52,29.97993,-90.40181,0.0,69.7,344.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:24:01,29.97995,-90.4018,0.1,40.5,341.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:25:12,29.97996,-90.40177,0.1,46.2,340.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:27:12,29.97998,-90.40174,0.1,55.6,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:28:22,29.97999,-90.40171,0.1,62.0,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:30:02,29.98,-90.40172,0.0,103.2,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:31:03,29.98001,-90.40172,0.0,226.4,337.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:33:22,29.98001,-90.40172,0.0,193.5,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:35:02,29.98,-90.40173,0.0,191.8,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:36:12,29.98,-90.40173,0.0,255.4,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:38:02,29.97998,-90.40173,0.0,43.7,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:39:41,29.98,-90.40174,0.0,266.1,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:42:41,29.98002,-90.40172,0.0,251.7,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:44:02,29.98002,-90.40171,0.0,251.1,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:46:12,29.98,-90.40174,0.1,224.7,340.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:47:13,29.97996,-90.40175,0.1,246.7,342.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:49:32,29.97997,-90.40177,0.0,249.8,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:51:32,29.97997,-90.40178,0.0,4.1,342.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:53:11,29.97998,-90.40175,0.0,19.5,341.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:54:22,29.98,-90.40173,0.0,40.6,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:56:01,29.98001,-90.40172,0.1,66.5,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:57:11,29.98001,-90.40172,0.1,256.6,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:58:21,29.98001,-90.40173,0.0,306.4,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T00:59:31,29.98001,-90.40173,0.1,270.8,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:00:11,29.98,-90.40173,0.1,173.9,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:01:21,29.97999,-90.40174,0.0,217.8,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:02:32,29.98,-90.40173,0.1,307.5,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:03:42,29.97999,-90.40174,0.1,266.6,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:04:52,29.97999,-90.40173,0.1,316.7,340.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:06:12,29.97999,-90.40172,0.1,353.5,340.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:07:20,29.97999,-90.40172,0.0,42.7,340.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:08:21,29.98001,-90.40172,0.0,188.1,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:09:31,29.98001,-90.40172,0.0,222.7,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:10:41,29.98002,-90.40172,0.0,246.6,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:11:42,29.98001,-90.40172,0.1,311.1,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:12:52,29.98,-90.40171,0.0,291.9,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:14:12,29.98,-90.40172,0.0,162.2,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:15:32,29.98001,-90.40171,0.0,141.9,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:16:41,29.97999,-90.40171,0.0,197.5,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:18:12,29.97999,-90.4017,0.1,182.2,339.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:19:21,29.98,-90.40172,0.0,278.4,338.0,EVELYN JAMES,,WDI8937,31.0
367743660,2020-01-01T01:20:22,29.97998,-90.40172,0.0,186.5,338.0,EVELYN JAMES,,WDI8937,31.0
