MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368044990,2020-01-01T00:04:58,48.03867,-122.40208,0.0,323.9,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:07:59,48.03867,-122.40206,0.1,321.5,511.0,FALCON,IMO0000000,WDK3412,37.0
338125423,2020-01-01T00:15:27,29.31028,-94.79075,0.0,256.1,511.0,FALCON,IMO0000000,WDD2930,37.0
368044990,2020-01-01T00:16:57,48.03867,-122.40207,0.0,324.0,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:23:00,48.03866,-122.40207,0.1,315.2,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:25:58,48.03866,-122.40207,0.0,321.9,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:28:59,48.03866,-122.40206,0.1,310.3,511.0,FALCON,IMO0000000,WDK3412,37.0
338125423,2020-01-01T00:33:27,29.31029,-94.79073,0.0,259.2,511.0,FALCON,IMO0000000,WDD2930,37.0
368044990,2020-01-01T00:40:59,48.03868,-122.4021,0.1,310.0,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:43:58,48.03868,-122.40208,0.1,316.0,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:46:58,48.03864,-122.40205,0.0,313.7,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:49:59,48.03863,-122.40206,0.1,296.9,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:52:58,48.03868,-122.40207,0.1,311.2,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:55:58,48.03867,-122.40208,0.1,308.0,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T00:59:00,48.03865,-122.40208,0.3,316.5,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T01:01:58,48.03864,-122.40207,0.0,317.4,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T01:04:58,48.03864,-122.40207,0.0,324.8,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T01:07:58,48.03863,-122.40206,0.0,319.8,511.0,FALCON,IMO0000000,WDK3412,37.0
368044990,2020-01-01T01:10:58,48.03866,-122.40209,0.0,314.5,511.0,FALCON,IMO0000000,WDK3412,37.0
338125423,2020-01-01T01:12:26,29.31029,-94.79074,0.0,232.5,511.0,FALCON,IMO0000000,WDD2930,37.0
368044990,2020-01-01T01:13:59,48.03865,-122.40208,0.0,308.0,511.0,FALCON,IMO0000000,WDK3412,37.0
338125423,2020-01-01T01:15:27,29.31029,-94.79075,0.0,247.5,511.0,FALCON,IMO0000000,WDD2930,37.0
