MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366963380,2020-01-01T00:00:03,37.90857,-86.68411,0.0,198.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:01:12,37.90856,-86.68406,0.0,147.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:02:24,37.9086,-86.6841,0.0,101.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:03:33,37.90858,-86.68404,0.0,123.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:04:43,37.90859,-86.68412,0.4,278.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:05:53,37.90922,-86.68359,4.4,42.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:07:02,37.91006,-86.68198,4.8,67.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:08:13,37.91044,-86.68016,4.4,85.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:09:22,37.91041,-86.67895,1.5,94.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:10:33,37.91037,-86.67884,0.1,69.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:11:44,37.91039,-86.67884,0.0,231.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:12:53,37.9104,-86.67882,0.0,182.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:14:04,37.91037,-86.67884,0.0,179.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:15:13,37.91037,-86.67885,0.0,175.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:16:22,37.91037,-86.67883,0.0,237.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:17:24,37.91042,-86.67899,0.7,300.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:18:33,37.91053,-86.68001,5.2,264.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:19:43,37.90997,-86.68233,5.6,246.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:20:53,37.90917,-86.68421,6.0,235.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:22:03,37.90819,-86.68602,1.9,221.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:23:14,37.90797,-86.68591,0.7,175.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:24:22,37.9078,-86.6858,0.5,165.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:25:33,37.90775,-86.68577,0.1,162.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:26:42,37.90772,-86.68576,0.1,222.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:27:43,37.90774,-86.68579,0.1,0.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:28:53,37.90771,-86.6858,0.1,169.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:30:03,37.90769,-86.68577,0.0,84.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:31:12,37.90771,-86.6858,0.0,79.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:32:22,37.90769,-86.68578,0.0,35.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:33:33,37.90772,-86.68579,0.0,32.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:34:44,37.90771,-86.68579,0.0,322.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:35:53,37.90771,-86.6858,0.0,3.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:37:02,37.90771,-86.68581,0.0,114.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:38:12,37.9077,-86.68579,0.0,89.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:39:23,37.90775,-86.6858,0.0,19.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:40:33,37.90772,-86.6858,0.0,75.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:41:42,37.90776,-86.6858,0.0,347.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:42:53,37.90771,-86.6858,0.0,90.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:44:02,37.9077,-86.68581,0.0,53.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:45:03,37.90771,-86.68582,0.0,355.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:46:13,37.90771,-86.68581,0.0,73.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:47:22,37.90772,-86.6858,0.0,96.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:48:32,37.90769,-86.68579,0.0,15.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:49:33,37.90772,-86.68579,0.0,16.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:50:43,37.90773,-86.68576,0.0,103.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:51:53,37.9077,-86.68578,0.0,101.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:53:02,37.90772,-86.68579,0.0,359.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:54:03,37.90774,-86.68581,0.0,339.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:55:13,37.90777,-86.68577,0.0,41.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:56:22,37.90774,-86.68578,0.0,106.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:57:33,37.90773,-86.68584,0.0,95.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:58:43,37.90776,-86.68576,0.0,13.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T00:59:53,37.90771,-86.6858,0.0,28.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:00:03,37.90771,-86.6858,0.0,36.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:01:13,37.90775,-86.68577,0.0,73.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:02:23,37.90773,-86.68579,0.0,91.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:03:32,37.90776,-86.68581,0.0,44.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:04:43,37.90775,-86.68581,0.0,293.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:05:52,37.90774,-86.68579,0.0,333.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:06:53,37.90773,-86.68583,0.0,133.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:08:04,37.90774,-86.68581,0.0,310.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:09:13,37.9077,-86.68582,0.0,309.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:10:22,37.90771,-86.68585,0.0,334.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:11:33,37.90775,-86.68579,0.0,28.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:12:42,37.90773,-86.68578,0.0,338.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:13:53,37.9077,-86.68576,0.0,327.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:15:02,37.90774,-86.68578,0.0,334.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:16:12,37.90772,-86.68576,0.0,346.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:17:22,37.90771,-86.68578,0.0,325.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:18:32,37.90772,-86.68576,0.0,328.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:19:43,37.90772,-86.68581,0.0,321.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:20:52,37.90771,-86.68582,0.0,334.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:22:02,37.90772,-86.6858,0.0,319.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:23:03,37.9077,-86.68581,0.0,328.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:24:13,37.90773,-86.6858,0.0,320.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:25:23,37.90771,-86.68582,0.0,318.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:26:34,37.90773,-86.68583,0.0,335.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:27:43,37.90772,-86.6858,0.0,86.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:28:52,37.90771,-86.68578,0.0,357.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:30:03,37.90771,-86.68581,0.0,310.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:31:12,37.90771,-86.68579,0.0,312.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:32:22,37.90775,-86.68577,0.0,316.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:33:33,37.90779,-86.68572,0.0,305.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:34:43,37.90774,-86.68574,0.0,319.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:35:53,37.90771,-86.68578,0.0,309.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:37:02,37.90775,-86.68577,0.0,307.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:38:14,37.90776,-86.68574,0.0,305.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:39:22,37.90773,-86.68578,0.0,306.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:40:32,37.90773,-86.68581,0.0,299.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:41:43,37.90769,-86.68584,0.0,298.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:42:53,37.90771,-86.68585,0.0,300.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:44:03,37.9077,-86.68578,0.0,301.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:45:13,37.90774,-86.68578,0.0,10.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:46:23,37.90772,-86.68583,0.0,135.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:47:34,37.90774,-86.68579,0.1,117.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:48:42,37.90772,-86.68577,0.0,356.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:49:53,37.90773,-86.68579,0.0,352.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:51:03,37.90773,-86.68578,0.0,0.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:52:13,37.90773,-86.68578,0.0,164.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:53:23,37.90774,-86.68576,0.0,159.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:54:33,37.90767,-86.68578,0.0,164.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:55:42,37.90771,-86.68578,0.0,168.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:56:53,37.90768,-86.68581,0.0,173.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:58:03,37.90772,-86.6858,0.0,171.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T01:59:13,37.90771,-86.68579,0.0,174.0,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:00:03,37.9077,-86.68576,0.0,183.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:01:12,37.90769,-86.68578,0.0,182.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:02:22,37.90772,-86.68574,0.0,184.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:03:32,37.9077,-86.68578,0.0,182.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:04:42,37.9077,-86.68576,0.0,182.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:05:52,37.90769,-86.68579,0.0,174.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:07:02,37.90772,-86.68581,0.0,176.4,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:08:13,37.90775,-86.6858,0.0,180.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:09:24,37.90774,-86.6858,0.0,182.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:10:33,37.90774,-86.68577,0.0,180.3,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:11:43,37.90774,-86.68578,0.0,183.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:12:52,37.90775,-86.68581,0.0,168.9,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:14:02,37.90773,-86.6858,0.0,167.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:15:12,37.90771,-86.6858,0.0,173.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:16:23,37.90767,-86.68575,0.0,294.7,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:17:32,37.90771,-86.68578,0.0,297.5,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:18:42,37.9077,-86.68577,0.1,137.8,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:19:53,37.90772,-86.68578,0.0,262.6,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:21:02,37.90771,-86.6858,0.0,289.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:22:14,37.90773,-86.68578,0.0,181.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:23:23,37.90772,-86.68579,0.0,164.1,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:24:32,37.90776,-86.68582,0.0,183.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
366963380,2020-01-01T02:25:42,37.90776,-86.68579,0.0,208.2,511.0,FRANCIS R KEEGAN,,WDB8733,31.0
