MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
538006030,2020-01-01T04:03:11,25.46983,-91.21904,11.4,103.9,103.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T04:48:29,25.44327,-91.06415,11.4,92.1,92.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T04:56:31,25.44115,-91.03614,11.4,95.8,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T04:57:40,25.44079,-91.03218,11.4,95.9,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T04:59:01,25.44033,-91.02744,11.4,96.1,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:00:01,25.43998,-91.02398,11.4,96.3,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:01:10,25.43957,-91.02005,11.4,96.2,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:02:19,25.43916,-91.016,11.4,96.7,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:03:51,25.43861,-91.01068,11.4,96.3,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:05:01,25.43822,-91.00659,11.4,96.1,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:06:11,25.43781,-91.00261,11.4,95.9,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:07:21,25.4374,-90.99849,11.4,95.8,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:08:40,25.43694,-90.99392,11.3,96.7,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:10:00,25.43647,-90.98932,11.4,96.5,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:20:41,25.43277,-90.9525,11.2,97.0,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T05:37:51,25.42705,-90.89278,11.3,97.2,95.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T07:59:10,25.29666,-90.42064,11.4,104.3,105.0,FRONT PUMA,IMO9664794,V7JC3,80.0
538006030,2020-01-01T08:01:00,25.29519,-90.41437,11.3,105.0,105.0,FRONT PUMA,IMO9664794,V7JC3,80.0
