MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
316001834,2020-01-01T01:23:39,45.32748,-81.86808,11.3,265.6,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:25:18,45.32715,-81.8754,11.3,268.3,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:27:18,45.32666,-81.8844,11.4,264.1,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:30:09,45.32602,-81.89722,11.3,267.5,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:32:09,45.32561,-81.90608,11.3,269.2,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:33:19,45.32538,-81.91126,11.1,268.8,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:35:09,45.32498,-81.91931,11.1,260.8,264.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:36:18,45.3247,-81.92426,10.4,264.6,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:37:28,45.32444,-81.92917,10.5,266.9,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:38:38,45.32417,-81.93411,10.9,264.1,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:40:59,45.32366,-81.94411,11.1,262.9,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:42:08,45.32341,-81.94913,10.8,268.6,265.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:44:59,45.32278,-81.96146,10.9,263.5,263.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:46:09,45.3224,-81.96643,10.9,260.5,262.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:47:18,45.32202,-81.97147,11.0,267.4,263.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:48:29,45.32161,-81.97655,10.9,267.2,262.0,FRONTENAC,IMO6804848,VGNB,70.0
316001834,2020-01-01T01:49:38,45.32114,-81.9814,10.9,263.5,262.0,FRONTENAC,IMO6804848,VGNB,70.0
