MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
538071471,2020-01-01T12:44:26,25.39986,-77.90651,0.3,360.0,511.0,FRUITION,IMO0000000,,37.0
538071471,2020-01-01T12:55:37,25.39848,-77.90551,0.3,360.0,511.0,FRUITION,IMO0000000,,37.0
538071471,2020-01-01T12:58:50,25.39824,-77.90577,0.4,360.0,511.0,FRUITION,IMO0000000,,37.0
538071471,2020-01-01T13:01:31,25.39807,-77.9061,3.6,272.9,511.0,FRUITION,IMO0000000,,37.0
538071471,2020-01-01T13:04:31,25.39382,-77.90572,7.2,147.7,511.0,FRUITION,IMO0000000,,37.0
367304130,2020-01-01T16:43:14,27.10911,-82.4607,0.0,4.1,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:46:14,27.10889,-82.4607,1.8,176.5,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:48:52,27.11071,-82.46027,4.0,346.8,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:51:53,27.11307,-82.46173,4.2,237.8,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:53:21,27.11245,-82.46349,4.4,268.0,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:54:23,27.11255,-82.46487,4.4,283.2,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:55:52,27.11296,-82.46687,4.4,273.5,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:57:22,27.11264,-82.46925,6.2,258.7,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T16:58:52,27.11286,-82.47146,4.7,267.3,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:00:24,27.1116,-82.47248,3.3,185.1,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:01:52,27.11081,-82.47302,1.8,243.3,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:03:21,27.11063,-82.47355,0.8,267.9,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:04:22,27.1106,-82.47374,0.5,253.2,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:05:23,27.11054,-82.47384,0.1,231.9,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:08:22,27.11014,-82.47402,0.3,201.9,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:11:21,27.1099,-82.47457,0.8,265.5,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:14:21,27.10952,-82.4749,0.4,190.3,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:17:22,27.10887,-82.47491,0.8,177.7,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:20:22,27.10841,-82.47502,0.8,212.6,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:23:21,27.10791,-82.47545,0.1,284.1,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:26:22,27.10783,-82.47567,0.5,191.5,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:29:54,27.10765,-82.47634,1.7,254.5,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:31:22,27.10764,-82.47707,2.0,290.3,511.0,FRUITION,,WDD8887,37.0
367304130,2020-01-01T17:32:51,27.10796,-82.47768,2.3,296.2,511.0,FRUITION,,WDD8887,37.0
