MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367193790,2020-01-01T00:03:58,25.95546,-97.39172,0.0,64.2,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:06:38,25.95544,-97.39173,0.0,258.9,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:09:19,25.95546,-97.39174,0.0,220.6,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:22:58,25.95447,-97.39363,1.5,245.5,254.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:26:58,25.95411,-97.39473,0.8,244.6,256.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:30:58,25.95385,-97.39577,1.0,257.2,258.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:32:08,25.95379,-97.39611,1.0,261.0,258.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:37:49,25.95357,-97.39825,1.1,262.1,252.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:39:19,25.95351,-97.39881,1.2,264.3,251.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:46:38,25.9535,-97.39924,0.0,228.4,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:49:38,25.95349,-97.39924,0.1,334.2,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:50:48,25.9535,-97.39923,0.0,329.2,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:55:08,25.95349,-97.39923,0.0,236.8,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T00:59:47,25.95348,-97.39924,0.0,227.0,248.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:00:09,25.95349,-97.39923,0.0,309.6,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:01:47,25.95349,-97.39924,0.0,246.2,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:03:19,25.9535,-97.39924,0.0,249.1,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:10:49,25.95349,-97.39925,0.0,205.8,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:12:58,25.95349,-97.39923,0.0,315.5,247.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:41:49,25.95348,-97.39924,0.0,266.0,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:43:48,25.95349,-97.39923,0.0,336.5,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:47:48,25.95349,-97.39924,0.0,260.3,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:49:28,25.95349,-97.39924,0.0,238.8,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:50:58,25.9535,-97.39923,0.0,274.8,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:52:39,25.9535,-97.39923,0.0,280.5,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:57:18,25.95349,-97.39924,0.0,257.0,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T01:59:28,25.9535,-97.39924,0.0,288.1,245.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T02:03:49,25.95349,-97.39923,0.0,313.7,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T02:05:57,25.95349,-97.39923,0.0,268.9,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T02:07:38,25.95348,-97.39923,0.0,246.4,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T02:08:39,25.95349,-97.39924,0.0,277.1,246.0,GEORGE H THOMAS,,WDD7994,31.0
367193790,2020-01-01T02:10:09,25.95349,-97.39924,0.0,276.8,245.0,GEORGE H THOMAS,,WDD7994,31.0
