MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367515090,2020-01-01T00:00:04,39.21165,-76.5814,0.0,176.7,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:00:07,40.12024,-79.86393,0.6,249.0,307.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:01:14,39.21164,-76.5814,0.0,285.4,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:01:17,40.12023,-79.86414,0.5,279.0,308.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:02:22,39.21165,-76.58141,0.1,151.0,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:02:29,40.12023,-79.86423,0.1,258.0,306.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367543860,2020-01-01T00:03:39,40.12023,-79.86431,0.2,257.0,305.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:03:43,39.21165,-76.58139,0.0,122.2,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:04:49,40.12021,-79.86438,0.1,224.0,304.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:04:53,39.21164,-76.58143,0.1,185.2,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:05:59,40.1202,-79.86441,0.1,36.0,302.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:06:03,39.21166,-76.58143,0.0,195.0,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:07:09,40.12021,-79.86443,0.0,258.0,302.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:07:24,39.21169,-76.58142,0.0,180.2,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:08:18,40.12021,-79.8644,0.0,46.0,302.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:08:34,39.21167,-76.58142,0.1,173.2,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:09:27,40.12022,-79.86439,0.4,69.0,292.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:09:53,39.21164,-76.58141,0.1,216.7,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:10:31,40.12065,-79.86465,3.8,308.0,305.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:11:03,39.21164,-76.58142,0.0,184.4,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:11:38,40.12132,-79.86594,2.5,292.0,274.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:12:04,39.21164,-76.58141,0.0,233.5,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:12:41,40.12127,-79.86628,0.6,191.0,150.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:13:23,39.21161,-76.58142,0.0,163.3,511.0,GEORGETOWN,,WDG2383,31.0
367543860,2020-01-01T00:13:45,40.12121,-79.86629,0.1,227.0,121.0,GEORGETOWN,IMO7202413,WDG5154,31.0
367515090,2020-01-01T00:14:44,39.21163,-76.58144,0.0,258.4,511.0,GEORGETOWN,,WDG2383,31.0
