MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
303071000,2020-01-01T00:00:29,27.85334,-90.46549,10.5,9.2,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:02:48,27.86007,-90.46428,10.5,9.4,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:06:49,27.87177,-90.46211,10.5,9.8,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:08:09,27.87555,-90.46143,10.5,9.3,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:11:57,27.88668,-90.45939,10.5,9.2,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:15:48,27.89779,-90.4574,10.5,9.1,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:30:37,27.94072,-90.44997,10.6,8.3,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:33:47,27.95009,-90.44849,10.7,8.2,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:36:47,27.95904,-90.44704,10.8,8.2,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:39:08,27.96611,-90.44584,10.9,8.4,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:41:09,27.97223,-90.44479,11.0,8.7,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:44:09,27.98137,-90.44325,11.0,8.5,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:45:29,27.98544,-90.44254,11.1,8.5,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:46:48,27.98948,-90.44188,11.1,8.2,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:48:59,27.99621,-90.44078,11.2,8.3,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:50:09,27.99977,-90.44016,11.2,8.6,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:51:59,28.00546,-90.43916,11.2,8.7,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:53:27,28.01009,-90.43834,11.3,8.8,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:56:07,28.01845,-90.43692,11.3,8.3,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T00:57:47,28.02369,-90.43603,11.4,8.7,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:03:49,28.04277,-90.43276,11.6,8.3,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:14:58,28.07838,-90.42736,11.2,6.8,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:16:09,28.08194,-90.4269,11.2,6.4,7.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:17:28,28.08604,-90.42637,11.0,6.3,7.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:18:47,28.09009,-90.42588,11.0,6.0,7.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:20:39,28.09568,-90.42523,10.9,5.9,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:21:47,28.09911,-90.42486,10.7,5.4,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:23:47,28.10505,-90.42426,10.6,5.0,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:26:58,28.11448,-90.4233,10.7,4.9,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:28:08,28.11798,-90.42298,10.8,4.5,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:29:29,28.12203,-90.42261,10.7,4.8,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:30:39,28.12556,-90.42229,10.7,4.8,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:33:38,28.13449,-90.4215,10.8,4.3,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:35:07,28.13899,-90.4211,10.8,4.4,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:38:17,28.14846,-90.42021,10.7,5.1,8.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:41:09,28.15689,-90.41855,10.8,10.2,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:43:47,28.16477,-90.41693,10.9,10.1,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:45:08,28.1688,-90.41611,10.9,10.1,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:48:08,28.17785,-90.41433,11.0,9.9,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:53:08,28.19299,-90.41131,11.0,9.8,14.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:54:47,28.19801,-90.41029,11.1,10.2,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:55:57,28.20158,-90.40956,11.1,10.2,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:57:18,28.20565,-90.4087,11.1,10.5,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
303071000,2020-01-01T01:59:58,28.2137,-90.40706,11.0,10.2,13.0,GOL DIAMOND,IMO9514547,WDJ7559,90.0
