MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338760000,2020-01-01T00:00:13,30.38734,-81.53963,5.5,87.2,89.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:01:14,30.38747,-81.53763,6.5,81.9,80.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:02:22,30.38792,-81.535,7.6,79.0,80.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:03:24,30.38832,-81.53236,8.5,80.5,80.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:04:42,30.38886,-81.52861,9.4,80.6,80.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:05:44,30.3893,-81.52533,10.0,82.1,80.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:07:02,30.3899,-81.5213,9.7,78.2,78.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:08:04,30.39038,-81.51818,9.5,80.2,78.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:09:33,30.39113,-81.51383,9.1,78.8,83.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:10:45,30.39134,-81.51042,8.7,91.9,95.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:11:53,30.39096,-81.50728,8.5,101.4,101.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:13:12,30.39023,-81.50382,8.5,103.5,96.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:14:32,30.38971,-81.50017,8.9,95.7,87.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:15:44,30.38975,-81.49662,9.2,84.6,78.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:17:02,30.39037,-81.49275,9.7,73.9,65.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:18:12,30.39165,-81.48943,9.9,64.8,64.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:19:53,30.39359,-81.48438,10.2,66.5,73.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:21:02,30.39439,-81.48071,10.3,84.4,94.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:22:12,30.39403,-81.47695,10.0,104.9,114.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:23:53,30.39182,-81.4721,10.4,124.7,126.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:25:12,30.38949,-81.46852,10.6,127.3,126.0,ISLA BELLA,IMO9680841,WTOI,70.0
338760000,2020-01-01T00:26:14,30.38758,-81.46568,10.8,127.9,126.0,ISLA BELLA,IMO9680841,WTOI,70.0
