MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367003380,2020-01-01T00:00:00,21.227,-157.78967,17.1,83.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:01:07,21.22767,-157.78417,17.3,84.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:02:13,21.22817,-157.7785,17.5,83.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:03:19,21.22883,-157.77283,17.8,84.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:04:25,21.2295,-157.76717,17.8,82.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:05:31,21.23033,-157.76133,17.8,82.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:06:37,21.231,-157.7555,17.9,82.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:07:43,21.23183,-157.74967,18.2,82.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:08:49,21.2325,-157.74383,18.2,83.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:09:55,21.23333,-157.73783,18.2,82.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:11:01,21.234,-157.732,18.4,83.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:12:05,21.2345,-157.72617,17.9,83.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:13:08,21.23517,-157.7205,18.0,83.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:14:13,21.23567,-157.715,17.9,84.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:15:19,21.23633,-157.709,18.1,84.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:16:24,21.237,-157.70317,18.0,84.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:17:30,21.23767,-157.69733,18.0,84.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:18:45,21.23833,-157.69067,18.1,84.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:19:54,21.239,-157.6845,18.2,84.0,84.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:21:49,21.24,-157.67433,17.9,83.0,83.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:23:57,21.2415,-157.663,17.9,78.0,79.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:25:24,21.24367,-157.65583,17.6,66.0,68.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:27:09,21.24733,-157.6475,17.7,64.0,66.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:28:13,21.24967,-157.64233,17.7,64.0,67.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:29:39,21.25267,-157.63567,17.6,64.0,66.0,JEAN ANNE,IMO9233167,WDC3786,70.0
367003380,2020-01-01T00:31:05,21.25583,-157.62883,17.7,65.0,67.0,JEAN ANNE,IMO9233167,WDC3786,70.0
