MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367301650,2020-01-01T00:00:10,35.26586,-75.45557,7.3,12.2,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:01:40,35.26913,-75.45474,8.3,10.1,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:03:10,35.27241,-75.4539,7.6,13.4,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:04:40,35.27573,-75.45313,8.2,12.3,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:05:41,35.27795,-75.45259,7.8,11.7,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:07:11,35.28128,-75.45181,8.0,11.5,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:08:40,35.28457,-75.45097,8.0,11.2,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:10:11,35.28789,-75.45016,8.0,9.9,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:11:40,35.29122,-75.44931,8.1,11.3,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:13:10,35.29454,-75.4485,8.1,14.5,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:14:40,35.29787,-75.44764,8.1,12.7,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:16:10,35.30121,-75.4468,7.9,10.2,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:17:40,35.30452,-75.44589,8.0,12.8,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:19:10,35.30783,-75.44497,7.6,11.6,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:20:11,35.31005,-75.44434,8.5,16.2,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:21:40,35.31335,-75.44337,8.3,11.3,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:23:10,35.31667,-75.44236,8.5,11.4,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:24:40,35.31997,-75.44143,7.8,15.2,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:26:10,35.32326,-75.44043,8.1,14.7,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:27:40,35.32656,-75.43943,8.4,15.3,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:28:41,35.32877,-75.43878,7.6,14.8,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:30:10,35.33207,-75.43783,7.8,14.5,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:32:10,35.33645,-75.43653,7.6,12.2,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:33:40,35.33976,-75.4357,7.9,11.3,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:35:10,35.3431,-75.43488,7.7,12.5,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:36:11,35.34531,-75.4344,8.1,11.7,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:38:10,35.34973,-75.43335,8.0,2.6,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:40:10,35.35424,-75.43316,7.5,6.4,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:41:40,35.35759,-75.433,8.0,359.1,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:43:10,35.36094,-75.43276,7.9,3.5,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:46:10,35.36765,-75.43236,8.1,3.7,511.0,JOYCE D,IMO7207827,WCX7784,30.0
367301650,2020-01-01T00:47:40,35.37101,-75.43215,9.0,3.7,511.0,JOYCE D,IMO7207827,WCX7784,30.0
