MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367638010,2020-01-01T00:23:39,31.77835,-91.3594,10.2,181.1,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:26:58,31.76902,-91.36072,10.2,191.9,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:43:00,31.7265,-91.38295,10.3,212.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:47:57,31.7147,-91.39232,10.2,213.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:50:21,31.70898,-91.39575,9.6,201.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:51:28,31.70605,-91.39713,9.7,202.3,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:52:48,31.70272,-91.39853,9.6,196.4,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T00:54:20,31.69873,-91.39965,9.6,192.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:04:19,31.67073,-91.4007,10.7,178.4,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:05:27,31.66728,-91.40062,10.8,178.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:06:38,31.66377,-91.40052,10.8,177.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:07:48,31.6602,-91.40033,10.8,178.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:10:48,31.65122,-91.40037,10.6,179.9,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:12:28,31.64638,-91.40027,10.5,178.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:14:28,31.6406,-91.40022,10.2,180.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:15:38,31.63737,-91.40022,10.2,180.2,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:17:08,31.63307,-91.4003,10.1,181.4,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:18:20,31.62983,-91.40052,9.9,184.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:19:28,31.6267,-91.40095,9.8,189.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:20:57,31.62275,-91.40182,9.7,188.1,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:22:19,31.61907,-91.40238,9.7,187.9,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:23:28,31.61602,-91.40293,9.8,190.5,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:24:29,31.61333,-91.40352,9.8,189.2,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:26:28,31.6079,-91.4044,9.9,187.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:27:37,31.60473,-91.40478,10.0,184.2,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:30:27,31.5968,-91.40543,10.2,182.5,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:31:59,31.59243,-91.40567,10.4,182.9,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:33:08,31.58918,-91.40585,10.4,182.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:34:19,31.5857,-91.40607,10.3,183.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:35:20,31.58285,-91.40628,10.2,184.6,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:36:27,31.57967,-91.40668,10.1,187.4,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:37:59,31.57553,-91.40763,9.7,193.2,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:40:00,31.57083,-91.4099,9.2,206.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:41:11,31.56825,-91.41162,9.0,213.3,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:44:28,31.56167,-91.41768,9.1,226.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:45:58,31.55905,-91.42102,9.1,228.1,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:47:00,31.55722,-91.42318,9.4,226.8,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:48:09,31.55527,-91.42595,9.5,231.3,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:49:11,31.55357,-91.42837,9.6,230.3,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:50:17,31.5516,-91.43112,9.6,230.5,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:53:17,31.54665,-91.43858,9.7,233.8,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:54:37,31.54458,-91.44205,9.6,235.7,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:55:48,31.54293,-91.44498,9.1,237.3,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:56:59,31.5414,-91.4479,8.7,239.1,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:58:07,31.54003,-91.45072,8.5,241.3,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T01:59:19,31.53873,-91.45362,8.3,243.0,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T02:00:19,31.5378,-91.456,8.1,248.4,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T02:01:21,31.53707,-91.45848,8.0,252.1,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T02:02:57,31.53582,-91.46238,7.8,246.9,511.0,KAY A ECKSTEIN,,WDH6442,31.0
367638010,2020-01-01T02:04:07,31.53475,-91.46505,7.7,243.4,511.0,KAY A ECKSTEIN,,WDH6442,31.0
