MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367671080,2020-01-01T00:01:09,40.64087,-74.12967,0.0,301.4,203.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:02:19,40.64085,-74.12966,0.0,15.0,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:03:29,40.64086,-74.12968,0.0,94.2,206.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:04:39,40.64085,-74.12967,0.0,171.2,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:05:59,40.64085,-74.12966,0.0,269.8,201.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:07:09,40.64084,-74.12968,0.2,15.7,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:08:10,40.64084,-74.12969,0.0,279.9,206.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:09:19,40.64086,-74.12969,0.0,204.6,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:10:29,40.64088,-74.12971,0.0,82.2,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:11:39,40.64086,-74.1297,0.0,48.1,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:12:59,40.64087,-74.1297,0.0,62.3,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:14:09,40.64086,-74.12969,0.0,145.0,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:15:19,40.64086,-74.12968,0.0,101.2,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:16:29,40.64085,-74.12968,0.0,248.4,204.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:17:39,40.64084,-74.12968,0.0,299.9,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:18:59,40.64083,-74.12968,0.1,343.6,203.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:20:09,40.64086,-74.1297,0.0,286.7,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:22:09,40.64085,-74.12967,0.0,204.9,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:24:18,40.64084,-74.12965,0.0,292.0,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:26:00,40.64083,-74.12964,0.0,148.3,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:27:49,40.64084,-74.12969,0.0,195.5,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:29:00,40.64083,-74.12968,0.0,191.7,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:30:49,40.64085,-74.1297,0.0,205.6,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:32:00,40.64086,-74.12971,0.0,247.2,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:33:09,40.64086,-74.12969,0.0,16.9,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:34:19,40.64085,-74.12967,0.0,211.2,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:35:28,40.64086,-74.1297,0.0,163.3,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:36:39,40.64085,-74.12968,0.0,160.5,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:37:49,40.64085,-74.12967,0.0,236.3,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:39:58,40.64082,-74.12964,0.0,190.9,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:41:58,40.64085,-74.12968,0.0,342.1,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:42:59,40.64086,-74.12969,0.0,151.2,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:45:19,40.64085,-74.12969,0.0,164.9,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:46:30,40.64084,-74.12968,0.0,301.5,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:49:30,40.64084,-74.12968,0.0,173.1,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:51:38,40.64084,-74.12965,0.0,252.7,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:53:58,40.64082,-74.12966,0.0,213.0,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:55:09,40.64085,-74.12968,0.0,180.0,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:57:58,40.64084,-74.12968,0.0,227.2,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T00:59:09,40.64084,-74.12967,0.1,208.1,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:00:18,40.64084,-74.12967,0.0,211.9,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:01:30,40.64086,-74.12966,0.0,232.5,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:02:39,40.64085,-74.12967,0.0,138.5,206.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:03:58,40.64084,-74.12967,0.0,230.1,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:04:59,40.64084,-74.12968,0.0,274.1,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:06:09,40.64084,-74.12967,0.0,207.8,206.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
367671080,2020-01-01T01:07:18,40.64085,-74.12966,0.0,239.4,205.0,KIRBY MORAN,IMO9778349,WDH9735,31.0
