MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
319022200,2020-01-01T21:58:32,25.10193,-77.1955,0.2,263.9,323.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:06:03,25.10191,-77.19537,0.1,108.6,314.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:07:33,25.10191,-77.19546,0.3,262.3,313.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:31:53,25.10183,-77.19551,0.3,132.3,346.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:33:02,25.10186,-77.19555,0.2,268.9,345.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:40:12,25.10185,-77.19549,0.1,68.6,5.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:43:22,25.10187,-77.19556,0.1,279.0,339.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:47:42,25.10185,-77.19542,0.2,74.9,358.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:49:12,25.10188,-77.19545,0.5,243.7,319.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:50:23,25.1019,-77.19557,0.3,272.5,328.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:51:32,25.1019,-77.19563,0.2,251.4,349.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:56:33,25.10188,-77.19544,0.1,112.9,339.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:57:42,25.10187,-77.19547,0.2,248.4,320.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T22:59:12,25.10188,-77.19559,0.3,263.0,334.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:04:42,25.10187,-77.19544,0.1,95.9,355.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:05:53,25.10185,-77.19544,0.2,171.9,327.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:07:01,25.10188,-77.19555,0.3,275.9,327.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:08:13,25.10189,-77.19564,0.5,266.0,346.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:11:22,25.10184,-77.19554,0.2,72.1,28.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:12:33,25.10186,-77.19545,0.1,82.7,7.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:13:52,25.10185,-77.19541,0.1,125.7,343.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:15:02,25.10188,-77.19545,0.3,237.1,320.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:16:12,25.10188,-77.19555,0.3,265.9,326.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:17:22,25.10187,-77.19563,0.2,258.7,343.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:22:32,25.10188,-77.19543,0.1,104.1,354.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:24:22,25.10188,-77.19548,0.2,252.2,320.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:25:32,25.10188,-77.19554,0.3,264.3,325.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:26:42,25.10186,-77.19558,0.2,235.4,343.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:30:12,25.10189,-77.19542,0.1,65.3,355.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:31:22,25.10188,-77.1954,0.1,138.0,328.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:32:42,25.10188,-77.1955,0.3,270.0,318.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:34:12,25.10188,-77.19558,0.2,236.7,342.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:39:23,25.10192,-77.19539,0.1,323.9,319.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:40:43,25.1019,-77.19545,0.2,247.6,317.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:42:12,25.10187,-77.19551,0.2,252.4,332.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:44:01,25.10185,-77.19555,0.1,221.4,348.0,LA DOLCE VITA,,ZGCW6,37.0
319022200,2020-01-01T23:50:52,25.10189,-77.19539,0.2,191.2,318.0,LA DOLCE VITA,,ZGCW6,37.0
