MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366993230,2020-01-01T00:00:07,29.99505,-90.41188,0.1,189.9,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:01:18,29.99505,-90.41189,0.0,193.3,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:02:28,29.99505,-90.41188,0.0,184.0,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:03:39,29.99504,-90.41187,0.0,183.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:04:58,29.99504,-90.41186,0.1,161.7,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:06:07,29.99505,-90.41187,0.1,168.3,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:07:18,29.99505,-90.41185,0.1,160.1,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:08:28,29.99506,-90.41185,0.1,166.0,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:09:37,29.99505,-90.41184,0.1,168.3,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:10:47,29.99505,-90.41183,0.1,149.1,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:11:58,29.99505,-90.41185,0.0,153.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:13:38,29.99506,-90.41187,0.1,157.7,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:14:59,29.99504,-90.41186,0.0,183.6,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:16:18,29.99505,-90.41184,0.0,180.2,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:17:29,29.99504,-90.41186,0.0,187.1,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:18:38,29.99505,-90.41183,0.1,192.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:19:48,29.99506,-90.41185,0.0,206.9,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:20:58,29.99505,-90.41186,0.1,198.6,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:22:38,29.99506,-90.41184,0.1,192.8,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:24:27,29.99505,-90.41186,0.1,193.9,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:25:37,29.99505,-90.41186,0.0,184.4,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:26:57,29.99507,-90.41184,0.1,180.4,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:28:17,29.99507,-90.41185,0.0,191.7,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:29:37,29.99504,-90.41187,0.0,200.9,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:31:17,29.99504,-90.41188,0.1,198.1,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:33:17,29.99505,-90.41188,0.1,198.0,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:34:28,29.99505,-90.41189,0.0,209.2,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:36:58,29.99506,-90.41187,0.1,205.6,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:38:08,29.99505,-90.41187,0.0,205.7,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:39:17,29.99506,-90.41188,0.0,204.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:41:38,29.99506,-90.41186,0.1,202.0,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:42:49,29.99507,-90.41185,0.1,214.7,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:43:58,29.99506,-90.41185,0.1,207.1,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:47:07,29.99506,-90.41186,0.1,239.2,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:48:38,29.99506,-90.41185,0.0,227.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:49:47,29.99505,-90.41187,0.0,227.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:53:07,29.99504,-90.41187,0.0,227.0,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:55:08,29.99506,-90.41187,0.0,239.5,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:58:17,29.99505,-90.41186,0.0,226.2,511.0,LADY G II,,WYT8455,31.0
366993230,2020-01-01T00:59:27,29.99504,-90.41188,0.0,227.3,511.0,LADY G II,,WYT8455,31.0
