MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367054050,2020-01-01T00:00:23,26.89509,-80.07146,0.0,76.0,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:03:23,26.89508,-80.07145,0.0,5.8,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:04:52,25.95921,-80.12748,0.0,360.0,200.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:06:23,26.89508,-80.07146,0.0,140.1,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:09:24,26.89509,-80.07145,0.0,140.6,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:10:50,25.95921,-80.12751,0.0,360.0,198.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:12:23,26.89508,-80.07146,0.0,108.5,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:13:49,25.95922,-80.12752,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:15:24,26.89509,-80.07146,0.0,265.1,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:16:49,25.95922,-80.12751,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:18:24,26.89508,-80.07146,0.0,322.7,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:22:50,25.95922,-80.12751,0.0,360.0,190.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:24:24,26.89509,-80.07147,0.0,241.6,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:27:24,26.89509,-80.07149,0.0,276.8,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:30:24,26.89509,-80.07146,0.0,318.0,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:33:24,26.89509,-80.07147,0.0,160.3,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:37:49,25.9592,-80.1275,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:39:23,26.89509,-80.07147,0.0,84.1,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:42:24,26.8951,-80.07148,0.0,112.7,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:45:23,26.8951,-80.07147,0.0,135.4,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:46:49,25.95922,-80.12749,0.0,360.0,200.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T00:48:24,26.8951,-80.07146,0.0,337.3,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T00:57:24,26.89508,-80.07149,0.1,254.8,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T00:57:36,25.95922,-80.1275,0.0,360.0,190.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:03:23,26.89509,-80.07147,0.0,225.3,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:03:37,25.9592,-80.12754,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:06:24,26.89509,-80.07148,0.0,230.1,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:06:37,25.95921,-80.12753,0.0,360.0,190.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:09:24,26.89509,-80.07149,0.0,228.7,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:09:37,25.95922,-80.1275,0.0,360.0,198.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:12:24,26.89509,-80.07148,0.0,243.6,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:12:37,25.95921,-80.12751,0.0,360.0,190.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:15:23,26.8951,-80.07148,0.0,322.4,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:15:37,25.95921,-80.12753,0.0,360.0,190.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:18:24,26.8951,-80.07147,0.0,250.3,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:18:37,25.95923,-80.12753,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:21:24,26.8951,-80.07145,0.0,232.3,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T01:24:24,26.89509,-80.07147,0.0,257.3,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:27:36,25.95922,-80.12751,0.0,360.0,189.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:30:23,26.89509,-80.07146,0.0,295.5,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T01:33:23,26.89507,-80.07147,0.0,267.5,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:33:38,25.95922,-80.12751,0.0,360.0,198.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:36:24,26.89509,-80.07148,0.0,274.3,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:36:37,25.95921,-80.12749,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:39:23,26.89511,-80.07147,0.0,281.1,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:39:40,25.95921,-80.1275,0.0,360.0,189.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:42:24,26.89509,-80.07147,0.0,255.8,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:42:38,25.95919,-80.1275,0.0,360.0,189.0,LATITUDE,IMO0000000,WDL8019,37.0
368036190,2020-01-01T01:45:37,25.9592,-80.12753,0.0,360.0,190.0,LATITUDE,IMO0000000,WDL8019,37.0
368036190,2020-01-01T01:48:38,25.95919,-80.12752,0.0,360.0,199.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:51:23,26.89508,-80.07147,0.0,129.8,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:54:37,25.95924,-80.12749,0.0,360.0,198.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T01:57:24,26.89509,-80.07147,0.0,319.7,511.0,LATITUDE,,WDJ7244,37.0
368036190,2020-01-01T01:57:38,25.95921,-80.12751,0.0,360.0,198.0,LATITUDE,IMO0000000,WDL8019,37.0
367054050,2020-01-01T02:03:24,26.89511,-80.07146,0.0,285.8,511.0,LATITUDE,,WDJ7244,37.0
367054050,2020-01-01T02:06:23,26.8951,-80.07146,0.0,324.8,511.0,LATITUDE,,WDJ7244,37.0
