MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366998510,2020-01-01T00:00:01,37.82208,-122.312,0.0,222.6,283.0,LIBERTY,IMO7717626,WDC2845,31.0
367047270,2020-01-01T00:00:04,46.16049,-123.40593,1.4,146.3,119.0,LIBERTY,,WDC5845,31.0
367456870,2020-01-01T00:00:06,29.73365,-95.1366,0.0,274.4,279.0,LIBERTY,IMO8981432,WDF4885,31.0
367513040,2020-01-01T00:00:08,42.33865,-70.96415,0.0,335.1,82.0,LIBERTY,IMO9296121,WDG2187,31.0
367526620,2020-01-01T00:00:11,39.43855,-91.03126,0.0,246.3,511.0,LIBERTY,,WDG3492,31.0
367497980,2020-01-01T00:00:51,28.74296,-80.45574,5.4,150.6,511.0,LIBERTY,IMO0000000,WDF8732,36.0
368114310,2020-01-01T00:00:56,39.93307,-75.14172,0.0,360.0,511.0,LIBERTY,IMO0000000,WDL2670,51.0
367047270,2020-01-01T00:01:09,46.16015,-123.40514,4.3,112.5,121.0,LIBERTY,,WDC5845,31.0
367174670,2020-01-01T00:01:09,27.93323,-82.43393,0.0,285.4,114.0,LIBERTY,IMO9482598,WDD6569,31.0
366998510,2020-01-01T00:01:10,37.82209,-122.31201,0.0,219.3,283.0,LIBERTY,IMO7717626,WDC2845,31.0
367456870,2020-01-01T00:01:14,29.73365,-95.13661,0.0,227.0,279.0,LIBERTY,IMO8981432,WDF4885,31.0
367513040,2020-01-01T00:01:19,42.33867,-70.96415,0.2,171.8,81.0,LIBERTY,IMO9296121,WDG2187,31.0
367526620,2020-01-01T00:01:21,39.43856,-91.03127,0.0,249.3,511.0,LIBERTY,,WDG3492,31.0
367525060,2020-01-01T00:01:37,32.3549,-90.998,8.4,134.2,113.0,LIBERTY,,WDG3345,31.0
338117192,2020-01-01T00:01:43,38.77421,-76.56384,0.0,0.0,511.0,LIBERTY,,,37.0
367589940,2020-01-01T00:01:58,38.87528,-77.02174,0.0,128.7,511.0,LIBERTY,,WDG9650,37.0
369109000,2020-01-01T00:02:05,29.36995,-94.88926,0.0,224.2,356.0,LIBERTY,IMO9601821,WDG3575,31.0
338190316,2020-01-01T00:02:14,47.62955,-122.39197,0.0,245.4,511.0,LIBERTY,,,37.0
367047270,2020-01-01T00:02:17,46.15948,-123.40326,5.6,125.3,131.0,LIBERTY,,WDC5845,31.0
367174670,2020-01-01T00:02:19,27.93322,-82.43398,0.0,285.4,115.0,LIBERTY,IMO9482598,WDD6569,31.0
366998510,2020-01-01T00:02:21,37.82208,-122.31201,0.0,207.6,283.0,LIBERTY,IMO7717626,WDC2845,31.0
367497980,2020-01-01T00:02:21,28.74108,-80.45435,5.5,142.7,511.0,LIBERTY,IMO0000000,WDF8732,36.0
367456870,2020-01-01T00:02:26,29.73364,-95.13661,0.0,186.2,279.0,LIBERTY,IMO8981432,WDF4885,31.0
367513040,2020-01-01T00:02:30,42.33867,-70.96415,0.0,221.6,82.0,LIBERTY,IMO9296121,WDG2187,31.0
367526620,2020-01-01T00:02:31,39.43855,-91.03126,0.0,248.9,511.0,LIBERTY,,WDG3492,31.0
367525060,2020-01-01T00:02:48,32.35214,-90.99296,8.5,114.5,101.0,LIBERTY,,WDG3345,31.0
367047270,2020-01-01T00:03:18,46.15855,-123.40145,6.0,130.0,134.0,LIBERTY,,WDC5845,31.0
367497980,2020-01-01T00:03:22,28.7398,-80.45341,4.6,149.0,511.0,LIBERTY,IMO0000000,WDF8732,36.0
366998510,2020-01-01T00:03:31,37.82208,-122.312,0.0,228.5,283.0,LIBERTY,IMO7717626,WDC2845,31.0
367456870,2020-01-01T00:03:36,29.73365,-95.1366,0.0,142.2,279.0,LIBERTY,IMO8981432,WDF4885,31.0
367174670,2020-01-01T00:03:38,27.93323,-82.43398,0.0,285.4,115.0,LIBERTY,IMO9482598,WDD6569,31.0
367526620,2020-01-01T00:03:39,39.43854,-91.03125,0.0,248.3,511.0,LIBERTY,,WDG3492,31.0
367513040,2020-01-01T00:03:39,42.33867,-70.96415,0.0,134.6,81.0,LIBERTY,IMO9296121,WDG2187,31.0
