MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367555330,2020-01-01T00:00:00,38.58805,-90.2052,4.3,51.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:00:07,30.0491,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:01:10,38.589,-90.20393,4.1,38.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:01:16,30.04909,-90.53756,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:02:19,38.58995,-90.20297,3.8,45.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:02:26,30.04909,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:03:31,38.59094,-90.20182,4.0,40.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:03:36,30.0491,-90.53754,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367633260,2020-01-01T00:04:37,30.0491,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:04:49,38.59215,-90.20059,4.2,34.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:05:47,30.04911,-90.53756,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:05:52,38.59317,-90.19975,4.4,32.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:06:56,30.0491,-90.53754,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:07:00,38.59439,-90.19876,4.4,35.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:07:57,30.0491,-90.53755,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:08:10,38.5956,-90.19763,4.7,40.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:09:07,30.0491,-90.53754,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:09:30,38.59695,-90.19631,4.7,35.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:10:15,30.0491,-90.53754,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:10:41,38.5982,-90.1953,4.7,33.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:11:46,30.0491,-90.53754,0.0,149.6,13.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:11:59,38.59954,-90.19405,4.4,33.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:12:56,30.0491,-90.53754,0.0,149.6,13.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:13:00,38.60061,-90.19323,4.7,31.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367555330,2020-01-01T00:14:20,38.60222,-90.19221,4.6,32.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:14:46,30.0491,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:15:31,38.60348,-90.19118,4.7,35.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:15:56,30.0491,-90.53756,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:16:59,38.6052,-90.19006,4.6,23.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:17:47,30.0491,-90.53756,0.0,149.6,11.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:18:00,38.60647,-90.18941,4.9,22.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367555330,2020-01-01T00:19:01,38.60778,-90.18871,5.2,20.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:19:47,30.04909,-90.53757,0.0,149.6,11.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:20:10,38.60923,-90.1879,4.8,23.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:20:56,30.0491,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:21:40,38.61086,-90.18689,4.3,7.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:22:07,30.0491,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:22:51,38.6123,-90.18681,4.2,351.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:23:17,30.0491,-90.53757,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367633260,2020-01-01T00:24:36,30.04909,-90.53754,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:24:40,38.61445,-90.18663,2.0,8.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367555330,2020-01-01T00:25:51,38.61458,-90.18659,0.1,198.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:26:07,30.04909,-90.53756,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:27:00,38.61498,-90.18623,5.2,33.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:27:36,30.0491,-90.53757,0.0,149.6,11.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:28:10,38.61621,-90.18539,3.8,23.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367633260,2020-01-01T00:28:46,30.04909,-90.53756,0.0,149.6,12.0,LOUISIANA STAR,,WDH5965,31.0
367555330,2020-01-01T00:29:21,38.61749,-90.18484,4.2,9.0,511.0,LOUISIANA STAR,,WDG6282,31.0
367555330,2020-01-01T00:30:30,38.6189,-90.18424,4.4,15.0,511.0,LOUISIANA STAR,,WDG6282,31.0
