MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
316036235,2020-01-01T20:17:25,48.65384,-123.39397,0.0,64.4,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:19:57,48.65384,-123.39397,0.7,145.3,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:21:25,48.65374,-123.39273,3.5,77.0,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:23:25,48.65213,-123.39223,3.5,149.5,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:25:27,48.65078,-123.38898,5.8,106.3,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:26:56,48.65059,-123.38526,6.2,74.8,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:28:27,48.65111,-123.38141,6.5,86.9,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:30:55,48.65108,-123.37423,7.0,85.8,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:32:25,48.6517,-123.37008,6.8,77.3,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:34:55,48.65262,-123.3629,7.3,82.6,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:36:25,48.65286,-123.3583,7.4,92.7,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:37:54,48.65336,-123.35395,7.0,74.3,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:40:54,48.65548,-123.34606,7.1,77.0,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:41:55,48.65555,-123.34292,7.6,98.9,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:42:56,48.65515,-123.33969,7.8,107.0,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:45:24,48.65418,-123.33146,8.1,108.6,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:46:56,48.65306,-123.32649,8.4,106.9,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:49:25,48.65091,-123.31801,9.0,112.2,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:52:24,48.64837,-123.30723,9.1,105.5,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:55:24,48.64613,-123.29638,9.3,104.6,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:56:57,48.64504,-123.2905,9.3,103.8,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:58:25,48.64434,-123.28502,8.8,100.1,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T20:59:53,48.64361,-123.27972,8.9,100.1,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:00:24,48.64336,-123.27784,8.9,102.3,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:01:54,48.64253,-123.27288,8.0,110.8,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:03:23,48.64149,-123.26801,8.2,108.5,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:04:54,48.64031,-123.26308,8.2,108.2,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:05:55,48.63956,-123.2596,8.5,108.7,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:07:23,48.63841,-123.25467,8.5,109.8,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:08:54,48.63733,-123.2494,8.8,112.9,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:11:25,48.63555,-123.24043,8.7,106.7,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:12:54,48.63461,-123.23506,8.9,105.9,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
316036235,2020-01-01T21:14:25,48.63366,-123.22962,9.0,107.9,511.0,LUNA-SEA,IMO0000000,CFN5934,37.0
