MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
319304000,2020-01-01T00:00:13,18.50526,-64.37766,0.3,175.5,121.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:09:46,18.50544,-64.37767,0.2,15.2,110.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:11:42,18.50526,-64.37765,0.4,154.2,112.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:12:53,18.50513,-64.37759,0.4,162.9,106.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:21:13,18.50541,-64.37766,0.1,11.5,104.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:22:42,18.50536,-64.37768,0.2,180.2,119.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:24:03,18.50527,-64.37766,0.2,155.2,109.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:25:12,18.50519,-64.37763,0.2,172.6,104.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:33:13,18.50541,-64.37763,0.1,25.6,100.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:34:15,18.50535,-64.37765,0.3,210.0,122.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:35:34,18.50526,-64.37767,0.2,158.7,111.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:36:42,18.50519,-64.37765,0.3,176.6,105.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:45:29,18.5054,-64.37766,0.4,210.9,127.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:48:02,18.50515,-64.37762,0.3,170.8,106.0,MADSUMMER,IMO1008413,ZCNX8,37.0
319304000,2020-01-01T00:56:59,18.50539,-64.37769,0.4,186.4,126.0,MADSUMMER,IMO1008413,ZCNX8,37.0
