MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
538004266,2020-01-01T00:01:37,30.12956,-91.01515,0.1,163.5,59.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:04:43,30.12973,-91.01524,0.3,333.6,63.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:07:39,30.1297,-91.01516,0.3,145.0,66.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:10:33,30.12967,-91.01522,0.2,354.4,57.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:13:39,30.12978,-91.01524,0.1,0.4,58.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:16:35,30.12971,-91.01521,0.2,161.8,58.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:19:33,30.12974,-91.01516,0.2,11.3,49.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:22:35,30.12978,-91.01522,0.1,309.0,55.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:25:33,30.12976,-91.0152,0.1,309.0,52.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:28:35,30.12976,-91.01519,0.0,309.0,52.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:31:38,30.12974,-91.01519,0.0,309.0,51.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:34:38,30.12977,-91.0152,0.0,309.0,53.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:37:38,30.12974,-91.01521,0.0,309.0,52.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:40:37,30.12975,-91.0152,0.0,309.0,51.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:43:38,30.12974,-91.01521,0.1,309.0,53.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:46:36,30.12977,-91.01517,0.1,309.0,51.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:49:39,30.12975,-91.01519,0.1,309.0,53.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:52:34,30.12977,-91.01514,0.1,309.0,50.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:55:39,30.12975,-91.0152,0.1,309.0,53.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T00:58:38,30.12975,-91.01519,0.1,309.0,51.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T01:01:33,30.12972,-91.0152,0.0,309.0,51.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T01:04:38,30.12975,-91.01516,0.0,309.0,50.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T01:07:33,30.12969,-91.01517,0.0,309.0,50.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T01:10:36,30.12976,-91.0152,0.1,309.0,52.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
538004266,2020-01-01T01:13:35,30.12977,-91.0152,0.0,309.0,52.0,MARINE PRINCESS,IMO9621041,V7WC6,70.0
