MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367728060,2020-01-01T02:05:40,31.47878,-81.34229,0.0,360.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:06:42,31.47878,-81.3423,0.0,360.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:10:40,31.47878,-81.34228,0.0,360.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:13:40,31.47876,-81.34227,0.0,360.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:16:40,31.47875,-81.34231,0.2,223.2,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:19:40,31.47865,-81.34209,1.3,94.2,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:21:06,31.478,-81.34266,3.6,189.1,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:22:07,31.47702,-81.34234,3.3,136.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:23:08,31.47646,-81.34151,3.2,114.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:24:41,31.47641,-81.34,3.9,99.5,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:26:06,31.47617,-81.3383,4.2,101.2,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:27:37,31.47562,-81.3364,3.9,113.1,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:29:06,31.47549,-81.33449,4.2,91.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:30:36,31.47596,-81.33248,4.9,83.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:31:37,31.4763,-81.33084,5.2,70.8,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:33:06,31.47595,-81.32919,2.6,120.4,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:35:06,31.47613,-81.32832,0.0,24.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:36:07,31.47613,-81.32833,0.0,24.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:40:06,31.47614,-81.32832,0.0,24.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:44:03,31.47602,-81.32879,3.2,181.1,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:46:03,31.47384,-81.32803,4.6,186.2,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:47:34,31.47148,-81.32711,6.5,165.5,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:49:03,31.46898,-81.32593,6.8,162.5,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:50:06,31.4671,-81.32544,6.6,142.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:51:33,31.46462,-81.32457,6.5,167.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:53:33,31.4613,-81.32297,6.4,152.6,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:56:07,31.45729,-81.32062,6.4,118.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:57:34,31.45549,-81.31858,6.3,156.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T02:59:03,31.45362,-81.31635,8.2,136.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:00:33,31.45145,-81.31426,6.5,129.4,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:02:03,31.44984,-81.31174,6.6,122.8,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:03:35,31.44839,-81.30916,6.7,127.4,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:05:03,31.44664,-81.30677,6.5,158.2,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:06:33,31.44475,-81.30495,5.4,164.5,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:08:04,31.44362,-81.30459,3.2,167.1,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:09:33,31.44131,-81.3046,7.1,203.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:11:03,31.43856,-81.30566,6.9,187.4,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:12:05,31.43664,-81.30641,7.1,208.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:14:04,31.43319,-81.3084,6.9,210.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:15:33,31.43031,-81.30918,7.3,197.3,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:17:03,31.42795,-81.31118,6.9,221.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:18:33,31.42519,-81.31193,7.1,182.4,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:21:03,31.42045,-81.31007,7.3,162.0,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:22:04,31.41842,-81.30983,7.2,184.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:23:33,31.41573,-81.31047,6.8,157.6,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:25:03,31.41313,-81.30906,6.9,153.6,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:26:33,31.41069,-81.30738,6.8,163.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:27:34,31.40911,-81.30633,6.7,142.3,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:29:03,31.40672,-81.30466,6.8,158.3,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:30:35,31.40407,-81.30327,7.0,155.3,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:32:03,31.40166,-81.30146,7.2,169.2,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:34:36,31.3971,-81.29833,7.7,143.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:36:03,31.39427,-81.29782,7.2,188.3,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:37:33,31.39155,-81.29681,7.0,173.3,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:39:03,31.38876,-81.29641,6.7,153.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:40:33,31.38642,-81.29449,7.1,163.9,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:43:04,31.38216,-81.29224,6.8,138.4,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:44:35,31.37978,-81.29043,6.6,144.6,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:46:05,31.378,-81.288,6.8,128.8,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:49:33,31.37386,-81.28188,7.2,115.1,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:51:03,31.37312,-81.27848,7.3,110.7,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:55:04,31.37156,-81.26945,7.3,102.8,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:56:35,31.37047,-81.26621,7.2,125.8,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:58:03,31.369,-81.26328,7.4,100.5,511.0,MEGAN ELAINE,,WDI7371,30.0
367728060,2020-01-01T03:59:33,31.36822,-81.25979,7.4,109.3,511.0,MEGAN ELAINE,,WDI7371,30.0
