MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338303734,2020-01-01T15:04:45,24.57599,-81.71013,0.0,44.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:06:14,24.57593,-81.70998,1.6,138.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:07:45,24.57504,-81.71016,2.5,212.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:09:15,24.57428,-81.71098,2.5,228.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:10:44,24.57345,-81.71164,2.3,209.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:12:14,24.57263,-81.71216,2.1,209.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:13:15,24.5721,-81.71248,2.2,208.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:14:44,24.57124,-81.71301,2.3,209.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:16:16,24.57037,-81.71355,2.3,206.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:17:45,24.5695,-81.71405,2.4,207.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:19:44,24.56832,-81.71473,2.2,207.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:21:44,24.56726,-81.71536,2.2,207.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:23:14,24.56628,-81.71591,2.7,206.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:25:15,24.56491,-81.71664,2.6,205.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:26:16,24.56405,-81.7171,3.6,205.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:28:44,24.56218,-81.71808,2.7,209.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:29:45,24.56149,-81.71842,2.6,204.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:32:45,24.55933,-81.7194,2.7,204.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:34:14,24.55821,-81.71992,4.1,204.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:35:44,24.55647,-81.7208,4.7,204.9,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:38:14,24.55334,-81.72232,5.1,205.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:41:14,24.54935,-81.72446,5.4,206.9,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:44:14,24.54536,-81.7265,4.5,205.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:46:14,24.54381,-81.72833,3.8,236.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:48:14,24.54313,-81.72997,1.0,312.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:49:46,24.54286,-81.73009,1.1,189.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:51:14,24.54235,-81.73011,1.5,166.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:52:15,24.54191,-81.72993,1.6,158.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:56:14,24.54018,-81.7289,1.5,147.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:57:15,24.53982,-81.72866,1.4,149.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T15:59:14,24.5391,-81.72796,2.1,128.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:02:15,24.53789,-81.72629,2.1,130.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:03:47,24.53732,-81.72557,2.4,126.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:05:16,24.53679,-81.72487,1.6,137.9,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:06:46,24.53627,-81.7244,2.0,127.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:08:15,24.53579,-81.72354,2.5,116.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:09:45,24.53506,-81.72243,4.1,127.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:11:15,24.53388,-81.72077,4.7,129.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:12:44,24.53305,-81.71895,4.8,112.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:13:46,24.53246,-81.71734,5.0,118.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:15:44,24.53152,-81.71473,5.0,107.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:16:47,24.53111,-81.7133,4.9,108.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:18:44,24.53028,-81.71058,4.8,110.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:20:14,24.52961,-81.70854,4.9,106.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:21:16,24.52922,-81.70711,4.7,103.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:23:45,24.52835,-81.70371,5.0,104.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:26:15,24.5275,-81.6999,5.4,106.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:27:45,24.52708,-81.69728,5.9,107.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:30:15,24.52619,-81.69303,5.8,99.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:33:15,24.52521,-81.6877,6.0,105.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:34:45,24.52442,-81.68526,5.2,108.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:37:14,24.52345,-81.68139,5.3,104.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:38:15,24.52311,-81.67985,5.4,103.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:39:45,24.52275,-81.67729,6.0,100.9,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:43:15,24.52151,-81.67104,5.8,103.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:44:44,24.52104,-81.66844,6.0,98.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:45:46,24.52071,-81.66665,5.5,102.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:47:44,24.5193,-81.66412,4.5,129.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:50:44,24.51666,-81.66244,3.3,158.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:54:14,24.51365,-81.6609,3.5,148.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:57:14,24.51107,-81.65967,3.5,159.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:58:16,24.51019,-81.65929,3.2,154.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T16:59:44,24.5089,-81.6586,3.4,160.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:00:44,24.50803,-81.65825,3.4,153.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:02:15,24.50665,-81.65762,3.6,158.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:03:45,24.50529,-81.65706,3.5,165.9,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:05:15,24.50397,-81.65659,3.6,158.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:06:45,24.5025,-81.65602,3.6,158.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:07:46,24.50154,-81.65577,3.2,179.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:09:44,24.49978,-81.6557,3.2,172.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:10:45,24.49889,-81.65564,3.1,174.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:12:14,24.49776,-81.65559,2.7,173.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:13:15,24.49692,-81.65551,3.2,172.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:14:44,24.49566,-81.65546,2.8,173.9,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:15:45,24.49487,-81.6554,2.9,175.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:17:14,24.49367,-81.65546,3.2,184.5,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:18:44,24.49245,-81.65578,2.8,205.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:19:45,24.49194,-81.65626,2.4,195.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:22:15,24.49031,-81.65508,4.6,116.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:23:45,24.48938,-81.6534,4.2,126.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:25:15,24.48835,-81.65167,5.2,120.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:26:44,24.48729,-81.64997,4.6,124.6,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:27:45,24.48656,-81.64882,4.4,125.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:29:45,24.48523,-81.64687,4.8,120.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:30:46,24.48441,-81.64563,5.2,126.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:32:14,24.48337,-81.64375,4.2,121.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:33:45,24.48239,-81.64231,3.6,124.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:37:14,24.48038,-81.63923,3.2,128.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:38:44,24.47961,-81.63791,4.1,115.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:40:44,24.4785,-81.6351,5.8,113.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:43:44,24.47683,-81.63028,5.9,113.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:44:47,24.47609,-81.62874,5.5,120.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:47:15,24.47416,-81.6251,5.9,121.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:48:44,24.47293,-81.62291,5.4,129.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:49:45,24.47213,-81.62156,5.0,122.0,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:50:48,24.47129,-81.62013,5.3,127.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:52:15,24.47017,-81.61827,5.1,123.7,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:56:16,24.46701,-81.61259,5.5,122.1,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T17:59:15,24.46455,-81.60842,5.2,124.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T18:00:14,24.46373,-81.60708,5.2,122.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T18:01:15,24.46293,-81.60578,4.9,126.3,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T18:02:45,24.46174,-81.60373,5.5,120.2,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T18:04:15,24.4605,-81.60165,5.6,124.4,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T18:05:45,24.45919,-81.59952,5.9,122.8,511.0,MESMARIAH,IMO0000000,,37.0
338303734,2020-01-01T18:07:15,24.45784,-81.5974,5.3,127.5,511.0,MESMARIAH,IMO0000000,,37.0
