MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366959840,2020-01-01T00:00:12,29.72443,-95.02025,0.0,270.8,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:01:22,29.72442,-95.02025,0.0,246.2,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:02:23,29.72441,-95.02024,0.1,73.3,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:03:33,29.72443,-95.02024,0.0,82.8,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:04:42,29.72441,-95.02023,0.0,218.1,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:05:52,29.72441,-95.02024,0.0,248.5,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:07:02,29.72441,-95.02021,0.0,242.0,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:08:03,29.72443,-95.02024,0.0,238.5,344.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:09:12,29.72443,-95.02023,0.0,231.0,344.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:10:21,29.72442,-95.02021,0.0,79.2,343.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:11:32,29.72441,-95.02027,0.3,255.1,346.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:13:03,29.72434,-95.02036,0.1,86.0,351.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:14:09,29.72441,-95.02036,0.2,13.3,339.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:15:21,29.72488,-95.02067,2.9,321.7,319.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:17:15,29.72668,-95.02261,5.7,315.4,323.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:18:39,29.72826,-95.02361,3.7,10.1,38.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:19:43,29.72933,-95.02274,4.9,41.8,52.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:21:03,29.73009,-95.02167,0.7,61.9,58.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:22:33,29.73016,-95.02135,1.2,67.0,24.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:23:43,29.73003,-95.02119,0.7,148.8,354.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:25:33,29.72989,-95.02101,0.7,145.8,335.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:26:49,29.72974,-95.02083,0.3,65.6,328.0,MISS CYNTHIA,,WBM8719,31.0
366959840,2020-01-01T00:27:52,29.72965,-95.02073,0.4,133.8,324.0,MISS CYNTHIA,,WBM8719,31.0
