MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367468730,2020-01-01T00:00:07,29.48645,-94.59448,6.1,247.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:01:19,29.4857,-94.59664,6.1,248.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:02:28,29.48497,-94.59868,6.0,248.3,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:03:38,29.48428,-94.60078,6.0,251.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:04:58,29.48345,-94.60307,5.9,246.2,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:06:08,29.4827,-94.60507,6.0,247.3,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:07:17,29.48196,-94.60716,6.0,244.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:08:18,29.48122,-94.60882,6.0,241.9,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:09:48,29.48027,-94.61149,5.9,250.4,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:11:27,29.47943,-94.61442,5.8,252.2,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:12:48,29.47872,-94.61672,5.5,249.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:14:18,29.47786,-94.61911,5.5,246.2,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:15:27,29.47709,-94.62097,5.7,241.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:16:37,29.47622,-94.62288,5.9,245.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:17:49,29.47545,-94.62493,6.0,247.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:18:58,29.47471,-94.62692,5.9,244.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:20:07,29.47396,-94.62896,6.0,251.0,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:21:58,29.47285,-94.63224,6.0,247.8,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:23:08,29.47211,-94.63426,5.9,246.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:24:19,29.47134,-94.6363,5.8,247.1,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:25:28,29.47066,-94.63823,5.7,246.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:26:47,29.46981,-94.64044,5.6,244.8,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:28:19,29.46876,-94.64298,5.8,245.1,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:29:28,29.46797,-94.645,6.0,245.8,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:30:49,29.4671,-94.64732,6.0,247.2,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:32:37,29.46599,-94.65049,5.8,248.4,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:33:49,29.46527,-94.65255,5.9,251.2,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:35:37,29.46409,-94.65577,6.2,243.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:36:38,29.46329,-94.65753,6.2,244.9,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:39:38,29.46132,-94.66281,6.1,249.9,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:41:28,29.4602,-94.66608,6.0,248.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:42:38,29.45951,-94.66814,6.0,247.0,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:44:08,29.45865,-94.67074,5.7,248.8,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:45:17,29.45793,-94.6727,5.8,248.2,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:46:18,29.4573,-94.67446,5.9,245.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:48:48,29.45561,-94.67872,5.9,247.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:50:18,29.45468,-94.68132,5.9,246.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:51:58,29.45315,-94.68374,6.0,225.0,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:54:58,29.44993,-94.68812,6.0,229.4,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:56:09,29.4486,-94.68978,6.0,229.0,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:57:19,29.44735,-94.6915,6.0,230.0,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:58:28,29.4461,-94.69314,6.0,228.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T00:59:39,29.44479,-94.69482,5.9,228.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:00:19,29.44406,-94.69579,6.0,228.3,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:01:28,29.44276,-94.69738,6.0,225.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:02:38,29.44145,-94.69898,6.0,227.1,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:03:58,29.43995,-94.70083,5.8,225.8,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:05:17,29.43852,-94.70256,5.8,225.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:06:28,29.43715,-94.70409,5.9,227.0,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:07:58,29.4355,-94.70617,5.8,229.7,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:08:59,29.43446,-94.70759,5.7,229.5,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:10:07,29.43325,-94.70922,5.8,230.6,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:11:27,29.43192,-94.7111,5.7,231.4,511.0,MISS KARLI,,WDF5923,31.0
367468730,2020-01-01T01:12:37,29.43072,-94.71268,5.7,223.2,511.0,MISS KARLI,,WDF5923,31.0
