MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
369994000,2020-01-01T00:00:09,30.76361,-91.38433,0.0,11.9,280.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:01:19,30.76362,-91.38432,0.0,216.8,279.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:02:04,29.93654,-90.3347,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:02:30,30.7636,-91.38433,0.0,211.4,280.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:03:38,30.7636,-91.38432,0.0,208.2,280.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:04:48,30.76361,-91.38434,0.0,172.0,280.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:05:53,30.41312,-88.88005,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:05:58,30.76361,-91.38435,0.0,141.2,279.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:07:09,30.76361,-91.38432,0.0,200.9,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:08:05,29.93653,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:08:19,30.76359,-91.38429,0.0,74.9,279.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:08:54,30.41311,-88.88005,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:09:30,30.7636,-91.38429,0.0,226.2,279.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:10:38,30.76359,-91.3843,0.0,209.7,279.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:11:05,29.93654,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:11:39,30.7636,-91.3843,0.0,249.0,280.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:11:55,30.41311,-88.88005,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:12:59,30.76362,-91.3843,0.0,131.8,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:14:05,29.93654,-90.33468,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:14:08,30.7636,-91.38432,0.0,290.1,280.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:14:54,30.41312,-88.88005,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:15:59,30.7636,-91.38432,0.0,63.1,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:17:04,29.93654,-90.33468,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:17:09,30.7636,-91.38431,0.0,95.0,280.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:17:55,30.41312,-88.88004,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:18:19,30.76359,-91.38433,0.0,289.0,280.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:19:49,30.7636,-91.38434,0.0,10.3,279.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:20:04,29.93654,-90.33468,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:21:49,30.7636,-91.38431,0.0,328.4,281.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:22:59,30.7636,-91.38432,0.0,118.5,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:23:05,29.93654,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
366849480,2020-01-01T00:23:53,30.41313,-88.88007,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:24:49,30.76359,-91.38434,0.0,60.6,279.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:25:59,30.7636,-91.38431,0.0,48.7,279.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:26:04,29.93653,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
366849480,2020-01-01T00:26:54,30.41313,-88.88008,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:28:09,30.7636,-91.38429,0.0,248.0,281.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:29:04,29.93653,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:29:18,30.76361,-91.38429,0.0,272.1,280.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:30:29,30.7636,-91.38429,0.0,7.0,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:32:05,29.93654,-90.33468,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:32:08,30.76359,-91.38432,0.0,142.5,281.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:34:08,30.7636,-91.38431,0.0,278.9,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:35:05,29.93654,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:35:39,30.76362,-91.38429,0.0,84.2,280.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:35:54,30.41313,-88.88007,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
369994000,2020-01-01T00:37:08,30.76359,-91.38434,0.0,357.8,280.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:37:56,29.93653,-90.33469,0.0,0.0,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:38:39,30.7636,-91.38432,0.0,167.8,280.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:38:54,30.41312,-88.88007,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
366983460,2020-01-01T00:39:05,29.93635,-90.33508,3.8,217.5,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:40:08,30.7636,-91.38432,0.0,93.9,281.0,MISSISSIPPI,,AEUI,60.0
366849480,2020-01-01T00:41:55,30.41312,-88.88007,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
366983460,2020-01-01T00:42:05,29.93374,-90.34065,7.7,275.4,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:42:08,30.76358,-91.38433,0.0,167.5,282.0,MISSISSIPPI,,AEUI,60.0
369994000,2020-01-01T00:43:28,30.76359,-91.38432,0.0,260.3,281.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:43:46,29.93416,-90.34332,3.9,52.2,511.0,MISSISSIPPI,,WDB9823,31.0
366849480,2020-01-01T00:44:55,30.41312,-88.88007,0.0,215.5,511.0,MISSISSIPPI,IMO8938552,WDA7993,30.0
366983460,2020-01-01T00:44:55,29.93433,-90.3401,10.5,90.3,511.0,MISSISSIPPI,,WDB9823,31.0
369994000,2020-01-01T00:45:39,30.76361,-91.38431,0.0,217.6,281.0,MISSISSIPPI,,AEUI,60.0
366983460,2020-01-01T00:46:05,29.93434,-90.33675,8.4,89.2,511.0,MISSISSIPPI,,WDB9823,31.0
