MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
370181000,2020-01-01T23:13:35,54.35872,-167.555,16.7,82.7,82.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:14:40,54.35905,-167.54641,16.7,87.3,82.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:15:46,54.35938,-167.53759,16.5,88.7,84.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:17:40,54.35971,-167.52282,16.4,85.9,82.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:19:05,54.36005,-167.51168,16.6,87.4,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:20:10,54.35998,-167.50302,16.9,92.6,90.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:24:10,54.35817,-167.47093,16.8,96.2,88.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:25:16,54.35778,-167.46223,16.6,95.2,88.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:33:17,54.35646,-167.39694,17.3,91.2,85.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:35:28,54.35644,-167.37883,17.6,91.6,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:36:46,54.3563,-167.36795,17.6,90.9,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:38:05,54.3562,-167.35702,17.5,90.3,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:39:52,54.35606,-167.34229,17.4,91.5,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:42:05,54.35592,-167.32396,17.6,90.2,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:44:10,54.35564,-167.30667,17.5,89.5,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:45:40,54.35539,-167.29419,17.4,89.6,85.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:47:05,54.35527,-167.28242,17.4,89.5,85.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:48:10,54.35517,-167.27342,17.4,90.0,85.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:49:17,54.35516,-167.26416,17.4,90.5,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:50:22,54.35506,-167.25511,17.5,91.4,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:52:22,54.35481,-167.23828,17.7,89.9,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:53:41,54.35451,-167.22721,17.7,90.8,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:54:47,54.35437,-167.21798,17.7,91.6,86.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:57:40,54.3542,-167.19374,17.5,86.5,80.0,MOL COSMOS,IMO9388340,3ERV8,70.0
370181000,2020-01-01T23:58:59,54.3546,-167.18285,17.6,87.4,79.0,MOL COSMOS,IMO9388340,3ERV8,70.0
