MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
373457000,2020-01-01T00:00:40,35.03915,-143.52602,12.9,264.9,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:03:00,35.0384,-143.53604,12.7,266.1,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:04:30,35.03789,-143.54246,12.6,264.3,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:05:50,35.03742,-143.54819,12.8,264.9,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:07:00,35.03709,-143.55329,12.7,265.7,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:08:20,35.03671,-143.55903,12.7,265.3,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:09:40,35.03632,-143.56472,12.5,265.6,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:10:50,35.03603,-143.56964,12.7,266.1,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:12:00,35.0357,-143.57477,12.9,263.7,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:13:09,35.03534,-143.57973,12.7,264.6,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:14:21,35.03491,-143.58481,12.7,265.1,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:15:40,35.03444,-143.5905,12.6,264.1,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:16:41,35.03412,-143.59482,12.7,264.7,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:18:01,35.03377,-143.60039,12.3,266.7,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:19:11,35.03349,-143.60521,12.5,265.9,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:20:41,35.03309,-143.61162,12.5,265.3,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:21:49,35.03278,-143.61635,12.4,265.9,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:24:20,35.03207,-143.62701,12.6,265.4,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:25:41,35.03171,-143.63279,12.8,265.9,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:26:50,35.03142,-143.63775,12.7,265.8,263.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:28:30,35.03101,-143.64488,12.8,265.5,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
373457000,2020-01-01T00:29:41,35.03061,-143.64998,12.6,265.1,262.0,MOL MAESTRO,IMO9415727,3EKT9,70.0
