MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
477195600,2020-01-01T00:15:57,54.66184,-133.00557,9.8,143.1,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:24:07,54.64637,-132.97847,9.8,134.5,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:31:28,54.63251,-132.95461,9.5,138.1,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:32:37,54.63029,-132.95085,9.3,135.1,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:34:28,54.62674,-132.94502,9.6,139.3,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:35:36,54.6245,-132.94138,9.7,144.9,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:37:28,54.62083,-132.9355,9.4,139.1,137.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:39:58,54.61594,-132.92753,9.7,135.3,140.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:41:06,54.61373,-132.92395,9.9,138.1,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:44:27,54.60718,-132.9135,9.5,138.9,138.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:46:07,54.604,-132.90832,9.6,135.1,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:47:28,54.60136,-132.90413,9.3,145.4,139.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:48:48,54.59885,-132.90005,9.4,119.9,113.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:51:46,54.59695,-132.88796,8.8,101.1,105.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:52:57,54.59628,-132.88278,9.2,102.8,105.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:54:07,54.59564,-132.87772,10.1,96.1,106.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:55:17,54.59488,-132.87244,9.6,104.3,105.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:56:46,54.59396,-132.8657,10.6,104.1,106.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T00:59:48,54.59202,-132.85258,9.3,104.0,106.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T01:00:27,54.59159,-132.84992,8.3,104.9,105.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T01:02:07,54.5906,-132.84371,7.8,104.7,104.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T01:03:27,54.58986,-132.83895,7.5,106.2,104.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
477195600,2020-01-01T01:05:07,54.58904,-132.83339,7.2,111.1,103.0,MOUNT HIKURANGI,IMO9580039,VRMC8,70.0
