MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367610770,2020-01-01T00:00:33,30.19144,-91.5323,7.1,325.0,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:01:53,30.19352,-91.53414,7.2,315.0,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:03:14,30.19516,-91.5366,7.2,304.2,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:04:23,30.19671,-91.53864,7.1,306.9,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:05:34,30.19829,-91.54067,7.3,310.6,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:07:14,30.20065,-91.54337,7.2,316.3,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:08:23,30.20243,-91.54514,7.3,320.7,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:09:53,30.20468,-91.54742,7.2,317.4,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:11:52,30.20737,-91.55067,7.0,308.1,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:13:23,30.20953,-91.55322,7.6,322.9,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:14:32,30.21145,-91.55499,7.5,322.4,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:15:33,30.21262,-91.55693,6.8,280.7,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:16:44,30.21347,-91.55905,5.6,292.4,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:17:54,30.21419,-91.56106,5.4,277.1,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:19:54,30.21362,-91.56555,7.6,264.1,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:21:02,30.21362,-91.56827,7.4,275.5,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:22:23,30.21449,-91.57124,7.4,302.7,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:23:53,30.21609,-91.57429,7.4,303.9,511.0,MR DUCK,,WDH3774,31.0
367610770,2020-01-01T00:25:33,30.21799,-91.57759,7.5,304.3,511.0,MR DUCK,,WDH3774,31.0
