MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366846150,2020-01-01T00:00:07,30.04843,-90.5617,1.0,152.9,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:01:18,30.0482,-90.56153,0.5,143.2,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:02:28,30.04808,-90.56143,0.3,155.8,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:03:37,30.048,-90.56145,0.2,176.2,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:04:48,30.04795,-90.5614,0.1,144.1,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:05:56,30.048,-90.5614,0.1,76.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:07:07,30.04803,-90.5614,0.1,359.1,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:08:18,30.04805,-90.56143,0.1,359.1,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:09:38,30.04798,-90.5614,0.3,184.4,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:10:47,30.04793,-90.5614,0.0,189.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:12:18,30.04793,-90.5614,0.0,189.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:13:38,30.04795,-90.5614,0.1,189.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:14:47,30.04793,-90.56138,0.0,189.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:15:57,30.04793,-90.5614,0.0,189.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:17:26,30.04793,-90.5614,0.0,189.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:19:27,30.04838,-90.56218,4.4,295.6,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:20:48,30.0487,-90.56392,4.1,270.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:22:08,30.04863,-90.56567,4.2,256.9,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:23:17,30.04843,-90.56693,2.6,269.1,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:24:56,30.04845,-90.56708,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:26:07,30.04845,-90.56708,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:27:37,30.04847,-90.56708,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:29:56,30.04847,-90.5671,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:31:37,30.04847,-90.5671,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:32:47,30.04847,-90.56708,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:34:28,30.04847,-90.56708,0.0,272.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:35:37,30.04845,-90.56683,1.3,96.0,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:37:17,30.0484,-90.56602,1.3,89.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:38:28,30.04843,-90.56578,0.3,16.6,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:39:37,30.04842,-90.56585,0.2,225.8,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:41:58,30.04845,-90.5654,0.7,24.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:44:58,30.04798,-90.56555,0.4,162.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:46:07,30.04792,-90.56557,0.3,218.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:48:58,30.04788,-90.56595,0.2,232.5,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:50:06,30.04788,-90.56608,0.6,291.2,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:52:37,30.04798,-90.5665,0.6,281.2,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:54:58,30.04803,-90.56652,0.0,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:56:58,30.04805,-90.56652,0.0,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T00:58:58,30.04803,-90.56653,0.1,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:00:08,30.04802,-90.56655,0.1,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:01:17,30.04802,-90.56658,0.0,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:02:36,30.04803,-90.56658,0.1,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:03:46,30.04808,-90.56655,0.1,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:04:48,30.04812,-90.56652,0.1,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:06:07,30.04813,-90.5665,0.1,288.3,511.0,MYRNA ANN,,WDA7692,31.0
366846150,2020-01-01T01:07:16,30.04813,-90.56648,0.0,288.3,511.0,MYRNA ANN,,WDA7692,31.0
