MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
477628100,2020-01-01T00:00:01,36.80096,-75.22302,12.8,280.9,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:01:02,36.80162,-75.22726,12.7,282.0,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:02:12,36.8024,-75.23229,12.7,283.0,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:03:22,36.80321,-75.23738,12.7,280.7,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:04:40,36.80411,-75.24297,12.7,283.5,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:05:51,36.80494,-75.24806,12.7,283.4,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:07:00,36.80578,-75.25301,12.6,283.0,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:08:02,36.80652,-75.25744,12.6,281.9,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:09:11,36.80731,-75.2623,12.5,282.8,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:10:32,36.80823,-75.26816,12.6,281.9,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:11:41,36.80904,-75.2731,12.6,283.8,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:13:02,36.81004,-75.27887,12.6,280.0,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:14:51,36.81145,-75.28662,12.6,286.1,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:16:02,36.81238,-75.29166,12.7,284.5,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:17:12,36.81325,-75.29655,12.6,283.6,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:18:22,36.81416,-75.30158,12.6,281.4,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:20:21,36.81571,-75.31,12.5,281.2,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:21:32,36.81661,-75.31503,12.5,284.8,283.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:23:21,36.81802,-75.32275,12.5,283.2,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:25:21,36.8196,-75.33122,12.5,283.7,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:26:32,36.82055,-75.33623,12.5,283.8,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:28:21,36.82196,-75.34397,12.6,283.9,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:30:21,36.8235,-75.35251,12.7,282.0,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:31:32,36.8244,-75.35757,12.7,280.4,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
477628100,2020-01-01T00:32:50,36.82542,-75.3632,12.7,284.1,284.0,NINGBO SEAL,IMO9579066,VRJD3,70.0
