MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368066850,2020-01-01T00:02:10,27.87045,-82.61149,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:05:10,27.87045,-82.61147,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:08:10,27.87045,-82.61149,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:11:11,27.87045,-82.61149,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:16:41,27.87028,-82.61097,3.5,85.9,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:18:14,27.87075,-82.60871,4.9,76.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:19:41,27.87139,-82.60653,4.9,74.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:21:40,27.87217,-82.60361,5.3,73.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:23:42,27.87299,-82.60032,5.4,71.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:25:40,27.87367,-82.59707,5.8,76.7,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:26:41,27.87405,-82.5953,5.5,75.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:28:10,27.87471,-82.59276,5.7,76.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:30:10,27.87733,-82.58496,43.1,69.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:31:11,27.88112,-82.57196,43.5,72.8,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:32:40,27.88508,-82.55262,43.9,96.8,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:35:40,27.88444,-82.53526,6.4,81.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:36:42,27.8846,-82.53361,4.7,82.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:38:11,27.88559,-82.5336,2.3,41.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:40:10,27.88575,-82.53374,0.1,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:41:11,27.88574,-82.53374,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T00:44:40,27.88576,-82.53373,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:06:31,27.88579,-82.53374,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:07:32,27.88578,-82.53372,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:13:30,27.88577,-82.53373,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:14:31,27.88526,-82.53353,3.0,110.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:16:02,27.88473,-82.53377,3.4,269.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:17:30,27.88439,-82.53597,5.3,257.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:19:01,27.88388,-82.53848,5.3,257.8,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:20:30,27.88266,-82.54324,35.3,235.8,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:21:31,27.87054,-82.54934,55.1,206.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:23:01,27.84886,-82.55994,56.8,201.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:24:30,27.82811,-82.56901,55.9,196.9,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:25:31,27.81277,-82.57402,56.2,195.6,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:28:31,27.76791,-82.58841,55.6,196.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:30:30,27.73852,-82.5978,55.7,196.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:31:31,27.7234,-82.60265,55.7,195.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:33:07,27.70331,-82.60949,35.2,198.8,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:35:31,27.67353,-82.6244,54.5,207.8,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:37:30,27.64789,-82.6395,52.2,208.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:38:32,27.63475,-82.64719,52.6,207.7,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:40:33,27.61014,-82.65948,55.3,193.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:42:02,27.58844,-82.66599,54.2,195.6,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:43:32,27.56656,-82.6727,54.6,196.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:44:59,27.54558,-82.67774,42.9,186.7,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:46:02,27.53696,-82.67102,39.7,136.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:47:33,27.52939,-82.64941,52.5,116.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:49:00,27.52429,-82.63835,1.0,167.6,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:50:30,27.52354,-82.63724,5.7,108.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:52:00,27.51958,-82.62768,32.0,116.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:55:00,27.50731,-82.58763,67.9,98.6,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:57:01,27.50274,-82.57421,3.4,151.4,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T15:58:31,27.5014,-82.5738,3.2,170.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:00:33,27.50042,-82.57397,0.4,4.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:02:00,27.50036,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:06:00,27.50036,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:09:00,27.50037,-82.57394,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:12:00,27.50037,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:15:01,27.50036,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:18:00,27.50037,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:21:01,27.50038,-82.57393,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:24:01,27.50037,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:27:00,27.50037,-82.57393,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:30:00,27.50037,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:33:01,27.50038,-82.5739,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:36:00,27.50038,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:39:00,27.50038,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:42:00,27.50038,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:45:00,27.50038,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:48:02,27.50035,-82.57394,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:51:00,27.50037,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:54:00,27.50036,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T16:57:00,27.50038,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:03:00,27.50037,-82.57393,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:06:00,27.50038,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:09:00,27.50037,-82.5739,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:12:02,27.50037,-82.5739,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:15:00,27.50036,-82.57392,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:18:00,27.50037,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:21:00,27.50037,-82.57391,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:24:01,27.50059,-82.57399,4.0,356.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:25:02,27.50166,-82.5732,5.2,27.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:26:30,27.50263,-82.57168,4.9,109.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:28:30,27.50281,-82.56627,35.5,73.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:30:00,27.50412,-82.5605,7.2,74.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:31:01,27.50455,-82.5588,3.7,95.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:32:30,27.50316,-82.55764,4.8,158.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:34:03,27.5018,-82.55714,2.0,181.3,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:35:30,27.50085,-82.557,2.5,165.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:37:00,27.50039,-82.55686,1.0,254.6,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:38:30,27.5003,-82.55701,0.3,226.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:39:34,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:42:31,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:45:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:48:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T17:51:31,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:00:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:03:31,27.50027,-82.55701,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:06:30,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:09:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:12:31,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:15:31,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:18:30,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:21:30,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:24:31,27.50029,-82.55701,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:27:30,27.50029,-82.55701,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:30:31,27.50029,-82.55701,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:33:30,27.5003,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:39:30,27.50029,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:42:32,27.50029,-82.557,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:45:31,27.5003,-82.55701,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:48:30,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:51:30,27.50029,-82.557,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T18:57:30,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:00:31,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:03:30,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:06:31,27.50028,-82.55703,0.2,138.7,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:09:30,27.50029,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:12:31,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:15:32,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:18:30,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:21:30,27.50029,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:24:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:27:31,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:30:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:33:30,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:36:33,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:39:30,27.50029,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:42:30,27.50028,-82.55703,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:45:30,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:48:32,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:51:30,27.50028,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T19:54:30,27.5003,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:00:30,27.50029,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:03:30,27.5003,-82.55702,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:06:30,27.5003,-82.55701,0.1,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:09:31,27.50026,-82.55706,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:12:31,27.50027,-82.55706,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:15:31,27.50026,-82.55706,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:18:30,27.50026,-82.55705,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:21:30,27.50027,-82.55705,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:27:30,27.50025,-82.55704,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:30:32,27.50027,-82.55705,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:33:30,27.50026,-82.55704,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:36:30,27.50026,-82.55705,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:39:30,27.50026,-82.55705,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:42:30,27.50026,-82.55704,0.1,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:45:30,27.50026,-82.55705,0.0,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:51:31,27.50031,-82.55689,0.2,360.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:53:00,27.50047,-82.55672,1.7,40.1,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:54:31,27.50215,-82.55632,5.1,5.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:56:00,27.50467,-82.55768,10.7,302.0,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:57:32,27.50255,-82.56627,6.9,252.6,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T20:59:02,27.50233,-82.5684,5.1,262.5,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
368066850,2020-01-01T21:00:30,27.50244,-82.57105,5.4,280.2,511.0,NO WISDOM,IMO0000000,WDK5642,37.0
