MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367686940,2020-01-01T00:00:01,40.64943,-74.11085,0.0,360.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:00:12,29.37121,-94.8852,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:01:12,40.64943,-74.11084,0.0,360.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:01:23,29.3712,-94.88519,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:02:21,40.64943,-74.11083,0.0,360.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:02:32,29.37122,-94.88522,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:03:31,40.64944,-74.11083,0.0,0.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:03:42,29.37121,-94.88522,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:04:41,40.64944,-74.11083,0.0,360.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:04:53,29.37122,-94.88521,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:05:50,40.64945,-74.11085,0.0,0.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:06:03,29.37121,-94.88521,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:07:00,40.64939,-74.11086,0.5,168.2,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:07:23,29.37124,-94.88523,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:08:10,40.64912,-74.11088,1.1,187.7,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:08:33,29.37123,-94.88522,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:09:21,40.64837,-74.11088,3.0,178.3,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:09:53,29.37124,-94.88525,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:10:32,40.6474,-74.11031,3.5,131.0,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:11:02,29.37122,-94.88523,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:11:50,40.6469,-74.10859,5.8,100.8,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:12:22,29.37123,-94.88523,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:13:00,40.64676,-74.10535,8.0,84.3,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:13:33,29.37122,-94.88521,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:14:11,40.64671,-74.10194,8.0,92.4,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:14:42,29.37121,-94.8852,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367686940,2020-01-01T00:15:50,40.64687,-74.09713,7.9,82.5,511.0,NORMANDY,IMO8735235,WDI3305,31.0
367761640,2020-01-01T00:15:53,29.37124,-94.88521,0.0,360.0,511.0,NORMANDY,,WDJ2779,
367761640,2020-01-01T00:17:02,29.37123,-94.88522,0.0,360.0,511.0,NORMANDY,,WDJ2779,
