MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367579350,2020-01-01T00:01:45,37.77483,-122.38375,0.0,192.0,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:04:48,37.77485,-122.38377,0.0,351.3,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:07:47,37.77483,-122.38375,0.0,2.0,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:10:43,37.77483,-122.38375,0.0,330.0,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:13:49,37.77483,-122.38377,0.0,177.5,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:16:48,37.77483,-122.38375,0.0,135.7,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:19:43,37.77483,-122.38377,0.0,44.2,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:22:46,37.77483,-122.38375,0.2,268.0,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:25:48,37.77483,-122.38377,0.2,136.3,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:28:46,37.77485,-122.38373,0.0,278.0,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:31:48,37.77485,-122.38377,0.0,69.4,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:34:43,37.77485,-122.38375,0.0,347.3,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:37:48,37.77483,-122.38375,0.0,339.2,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:40:44,37.77485,-122.38373,0.0,315.9,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:43:49,37.77485,-122.38373,0.0,162.4,261.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:46:45,37.77483,-122.38373,0.0,177.2,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
367579350,2020-01-01T00:52:48,37.77483,-122.38375,0.0,300.8,260.0,OCEAN PATHFINDER,IMO7028996,WDG8613,31.0
