MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368112120,2020-01-01T12:02:55,34.05872,-77.88908,0.0,0.0,180.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:05:51,34.05872,-77.88908,0.0,0.0,175.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:08:51,34.05872,-77.88908,0.0,0.0,174.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:11:50,34.0578,-77.89305,7.6,250.4,238.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:13:20,34.05664,-77.89673,7.9,245.7,236.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:14:50,34.05551,-77.90053,8.1,247.9,236.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:15:52,34.05465,-77.90307,8.1,254.5,243.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:17:21,34.05367,-77.90711,8.3,251.1,237.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:18:51,34.05253,-77.91085,7.9,255.4,248.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:20:21,34.05234,-77.91492,8.2,260.8,249.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:21:50,34.05166,-77.91891,8.0,256.8,243.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:23:20,34.05029,-77.92254,8.0,239.6,228.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:24:23,34.04913,-77.92505,8.0,242.5,231.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:25:50,34.04662,-77.92713,7.6,204.2,191.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:27:20,34.04377,-77.92863,7.2,204.3,193.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:28:51,34.04098,-77.93011,7.3,203.3,192.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:29:52,34.03901,-77.93105,7.3,201.5,190.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:31:21,34.03636,-77.93279,7.2,210.6,199.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:32:51,34.0337,-77.93457,7.4,208.6,197.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:33:54,34.03179,-77.93581,7.2,206.9,198.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:35:22,34.02902,-77.93728,7.6,196.9,189.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:36:50,34.02585,-77.93839,8.2,197.6,188.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:38:20,34.02239,-77.93928,8.5,192.4,187.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:41:20,34.01545,-77.94107,8.3,191.3,181.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:42:50,34.01203,-77.9419,8.3,188.0,179.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:44:20,34.0086,-77.94248,8.1,185.9,178.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:45:50,34.00516,-77.94291,8.3,187.0,180.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:46:51,34.00287,-77.94328,8.0,187.4,180.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:49:20,33.9975,-77.94422,7.8,191.4,182.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:51:50,33.99218,-77.94558,7.8,191.6,181.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:53:20,33.98896,-77.94639,7.9,193.8,183.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:54:51,33.9857,-77.94727,7.8,192.1,183.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:56:20,33.98256,-77.94805,7.6,191.6,183.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:57:21,33.98042,-77.94857,7.7,190.6,181.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T12:58:51,33.9773,-77.94929,7.4,192.1,183.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:00:22,33.97422,-77.95001,7.4,190.2,182.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:01:50,33.9712,-77.95029,7.5,183.0,176.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:02:51,33.96909,-77.95059,7.5,190.3,185.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:03:52,33.96702,-77.95107,7.4,191.5,185.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:05:23,33.96403,-77.95199,7.3,203.8,196.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:06:51,33.9612,-77.95296,7.0,213.1,207.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:08:21,33.95874,-77.95494,7.0,213.6,206.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:09:51,33.95627,-77.95689,7.1,213.0,205.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:11:20,33.95409,-77.95926,7.1,223.9,215.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:12:21,33.95265,-77.96093,7.1,223.7,215.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:13:50,33.95051,-77.96339,6.9,225.0,218.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:14:51,33.94917,-77.96505,7.0,228.0,217.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:16:21,33.94774,-77.96802,6.8,222.0,206.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:17:52,33.94541,-77.97018,6.9,217.3,206.0,OCEANA,IMO0000000,WDL2445,37.0
368112120,2020-01-01T13:19:22,33.94323,-77.97236,6.7,226.2,217.0,OCEANA,IMO0000000,WDL2445,37.0
