MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
351026000,2020-01-01T00:00:01,36.06547,-132.7613,16.5,269.4,271.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:01:07,36.06538,-132.76746,16.3,268.9,271.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:02:14,36.06531,-132.77367,16.0,269.5,271.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:03:19,36.06523,-132.7797,16.4,269.6,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:04:26,36.06514,-132.78592,16.4,269.6,272.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:05:32,36.06506,-132.79201,15.8,267.6,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:06:38,36.06493,-132.79805,16.1,268.4,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:08:02,36.06485,-132.80572,16.1,268.0,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:09:37,36.06472,-132.81441,16.1,270.1,272.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:10:43,36.06471,-132.82067,16.4,269.4,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:11:49,36.06457,-132.82687,16.8,268.6,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:13:25,36.06453,-132.83606,16.5,270.3,271.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:14:55,36.06437,-132.84464,16.4,267.8,270.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:16:02,36.06428,-132.85085,16.3,270.8,271.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
351026000,2020-01-01T00:17:08,36.06424,-132.8569,15.6,268.8,271.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0
