MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338447000,2020-01-01T00:00:00,39.71252,-75.50862,11.9,199.7,198.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:01:10,39.7089,-75.51029,12.1,200.3,197.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:02:11,39.70566,-75.51171,12.1,199.3,197.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:03:20,39.70192,-75.51341,12.2,199.7,195.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:04:30,39.69815,-75.51506,12.3,197.6,194.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:05:41,39.69432,-75.51658,12.3,197.6,194.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:06:52,39.69043,-75.51812,12.2,196.3,194.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:08:20,39.68564,-75.51997,12.2,196.5,194.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:09:30,39.68187,-75.52144,12.2,196.6,194.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:11:00,39.67698,-75.52322,11.9,196.8,203.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:12:20,39.67318,-75.5256,11.2,213.9,220.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:13:30,39.67031,-75.52857,11.5,220.6,223.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:14:42,39.66745,-75.53198,11.8,222.8,223.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:15:51,39.66472,-75.5353,11.9,222.4,222.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:17:02,39.66176,-75.53877,12.0,220.8,219.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:18:20,39.65848,-75.54243,12.0,220.4,218.0,OSG HORIZON,IMO9436549,WDF6180,31.0
338447000,2020-01-01T00:19:31,39.65547,-75.54581,12.1,220.8,218.0,OSG HORIZON,IMO9436549,WDF6180,31.0
