MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367604420,2020-01-01T17:45:08,18.31515,-64.76954,5.0,231.3,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:46:37,18.31378,-64.77104,4.8,224.6,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:48:08,18.31279,-64.77301,5.7,247.4,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:52:08,18.3099,-64.77902,5.8,243.3,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:54:07,18.30972,-64.78215,6.0,285.6,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:56:07,18.31005,-64.78539,5.4,269.8,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:58:37,18.31097,-64.78917,5.0,290.5,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T17:59:38,18.31143,-64.79059,4.7,290.5,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:01:08,18.31241,-64.79243,5.0,301.8,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:02:37,18.31347,-64.79431,5.0,300.2,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:03:39,18.31423,-64.7957,5.4,301.3,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:05:07,18.31523,-64.79773,5.2,295.7,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:06:08,18.31575,-64.79913,4.9,292.1,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:09:08,18.318,-64.80254,5.0,300.9,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:11:07,18.31923,-64.80517,5.3,295.8,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:13:08,18.32038,-64.80771,2.4,4.6,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:14:37,18.31985,-64.80734,1.2,177.0,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:17:07,18.32019,-64.8089,5.0,311.7,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:19:07,18.32164,-64.81142,4.9,303.1,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:21:40,18.32334,-64.81468,5.3,304.6,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:23:07,18.32441,-64.81651,4.9,299.7,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:39:37,18.33565,-64.83626,4.5,298.6,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:43:07,18.33825,-64.84032,5.0,299.4,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:49:07,18.34227,-64.84809,5.2,299.2,511.0,PEACEKEEPER,,WDH3113,37.0
367604420,2020-01-01T18:50:37,18.34341,-64.85007,5.3,299.5,511.0,PEACEKEEPER,,WDH3113,37.0
