MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368006270,2020-01-01T00:01:16,38.80559,-77.03847,0.0,334.1,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:07:46,38.80571,-77.03816,3.0,60.9,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:08:47,38.80611,-77.03755,0.7,22.7,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:09:48,38.80762,-77.03677,8.1,25.5,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:11:17,38.8107,-77.03503,8.1,23.5,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:13:16,38.81852,-77.03187,22.4,8.1,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:14:46,38.82758,-77.02891,22.3,9.8,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:16:19,38.83675,-77.02575,22.2,18.9,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:17:46,38.84521,-77.02224,15.2,16.8,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:18:47,38.84768,-77.02145,9.6,14.2,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:20:16,38.85344,-77.02007,22.6,4.7,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:21:17,38.85858,-77.01984,8.5,358.8,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:23:17,38.86371,-77.02021,9.5,353.7,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:24:46,38.8674,-77.0208,7.7,351.4,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:25:47,38.86926,-77.02127,6.2,349.1,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:27:47,38.8725,-77.02259,6.1,334.0,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:29:17,38.8748,-77.02403,6.0,329.5,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:30:46,38.87699,-77.02559,6.1,323.4,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:31:47,38.87824,-77.02702,5.9,322.8,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:33:17,38.87962,-77.02652,1.0,331.2,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:34:46,38.87971,-77.02668,0.0,311.8,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:35:48,38.8797,-77.02668,0.0,311.8,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:40:42,38.87965,-77.02693,1.8,273.5,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:42:43,38.88063,-77.02899,3.1,28.0,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:44:12,38.88064,-77.02837,0.4,119.3,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:45:13,38.88065,-77.02836,0.0,119.3,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:46:14,38.88065,-77.02839,0.0,119.3,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:49:43,38.88064,-77.02835,0.0,119.3,511.0,POTOMAC TAXI II,,WDJ7391,60.0
368006270,2020-01-01T00:52:43,38.88065,-77.02836,0.0,119.3,511.0,POTOMAC TAXI II,,WDJ7391,60.0
